field_1,NODATA->Zona sense polï¿½gons,Aigues continentals,Basses urbanes,Boscos clars (no de ribera),Boscos de ribera,Boscos densos (no de ribera),Canals i basses agricoles,Conreus,Matollars,Plantacions de platans,Plantacions de pollancres,Platges,Prats i herbassars,Reforestacions recents,Roquissars,Sols nus forestals,Sols nus urbans,Tarteres,Vegetacio d'aiguamolls,Vies de comunicacio,Zones d'extraccio minera,Zones esportives i ludiques,Zones urbanitzades,Total
Abrera,0,0.91,0,0.67,0.48,22.52,0,62.21,8.9,0,0,0,0.29,0,0.02,2.31,0,0,0,0.81,0,0,0.89,"100"
Aiguafreda,0,0,0,1.62,0.13,69.84,0.13,12.74,11.17,0,0,0,1.04,0,0.06,0.03,0.05,0,0,0.39,0,0,2.8,"100"
Alella,0,0,0,1.9,0,13.51,0.01,69.85,9.8,0,0,0,1.05,0,0,0.26,0.02,0,0,0.99,0.04,0,2.57,"100"
AMB,1.09,0,0,1.28,0.04,21.53,0.1,43.27,13.88,0,0.01,0.29,2.28,0.33,0.11,0.37,1.64,0,0.34,1.26,0.12,0.19,11.87,"100"
Arenys de Mar,3.03,0,0,0.64,0.09,3.84,0.02,74.32,4.25,0,0.43,2.38,0.27,1.27,0,0.5,0,0,0,1.47,0,0.12,7.36,"100"
Arenys de Munt,0,0,0,1.05,0.1,31.2,0.02,53.45,5.83,0,0.89,0,0.39,4.69,0,0.25,0,0,0,0.58,0,0,1.54,"100"
Argentona,0,0,0.01,1.67,0,31.74,0,52.98,7.56,0,0,0,0.24,2.32,0,0.6,0.01,0,0,0.62,0,0.04,2.22,"100"
Avinyonet del Penedès,0,0,0,1.62,0.21,16.33,0,54,24.83,0,0,0,0.72,0.02,0.35,0.31,0.02,0,0,0.36,0,0,1.24,"100"
B30,0,0,0,0.94,0.07,30.62,0.01,51.6,7.72,0.01,0.09,0,1.11,0.04,0.34,0.53,0.28,0,0,0.83,0.02,0.02,5.77,"100"
Badalona,0.36,0,0,2.51,0,6.57,0,54.21,8.41,0,0,0.66,0.89,0.67,0,0.37,4.97,0,0,0.95,0,0.18,19.24,"100"
Badia del Vallès,0,0,0,0,0,11.26,0,79.29,5.79,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0.54,"100"
Barberà del Vallès,0,0,0,0.11,0.05,6.21,0,78.91,4.68,0,0.03,0,4.59,0,0,0.1,0.24,0,0,1.12,0,0,3.96,"100"
Barcelona,3.75,0.08,0,0.29,0.07,11.38,0.11,19.04,9.11,0,0.01,0.45,4.39,0.37,0.03,0.16,4.84,0,0,2.47,0.17,0.71,42.6,"100"
Begues,0,0,0,1.55,0,37.14,0,13.12,42.68,0,0,0,1.54,1.85,0.85,0.16,0,0,0,0.17,0,0,0.93,"100"
Bigues i Riells,0,0,0,0.65,0.12,46.05,0,46.2,4.62,0,0.02,0,0.03,0,0.94,0.07,0,0,0,0.26,0.02,0,1.02,"100"
Cabrera de Mar,0.01,0,0,3.11,0,18.94,0,64.42,7.68,0,0,0.47,0.25,0.69,0,0.35,0.16,0,0,1.4,0,0,2.5,"100"
Cabrils,0,0,0,6.72,0,32.38,0,51.73,5.38,0,0,0,0.01,0.28,0,0.36,0,0,0,0.72,0,0,2.41,"100"
Caldes de Montbui,0,0,0,0.88,0.28,42.32,0,40.32,12.93,0.02,0,0,0.31,0.07,0.26,0.11,0.02,0,0,0.6,0.11,0.03,1.72,"100"
Caldes d'Estrac,3.91,0,0,0.2,0,4.5,0,49.55,11.85,0,0,4.3,0,0,0,0.36,0,0,0,1.39,0,0,23.96,"100"
Calella,0.16,0,0,1.63,0,12.52,0,59.11,11.66,0,0.04,2.48,0.33,3.08,0,0,0,0,0,1.24,0,0.1,7.66,"100"
Campins,0,0,0,0.98,0.75,70.89,0,24.04,1.95,0.24,0.06,0,0.02,0,0,0.01,0,0,0,0.37,0,0,0.69,"100"
Canet de Mar,2.09,0,0,0,0,5.75,0.02,77.14,2.45,0,0,1.29,0.29,1.88,0,0,0,0,0,0.71,0,0,8.38,"100"
Canovelles,0,0,0,0.05,0,16.3,0,73.77,4.02,0,0,0,0.77,0,0,0.07,0,0,0,1.32,0,0,3.69,"100"
Cànoves i Samalús,0,0,0,2.99,0.41,67.57,0,22.32,5.17,0.02,0,0,0.26,0,0,0.02,0,0.12,0,0.34,0,0,0.79,"100"
Canyelles,0,0,0,3.14,0,12.26,0,36.49,44.38,0,0,0,0.61,0,1.17,0.39,0,0,0,0.6,0,0,0.95,"100"
Cardedeu,0,0,0,0.2,0,19.46,0,69.83,1.76,0.15,0.26,0,0.4,0,0,0.22,0.01,0,0,0.85,0,0.09,6.79,"100"
Castellar del Vallès,0,0,0,0.33,0,66.43,0,22.26,6.4,0,0,0,0.18,0,2.09,0.03,0,0,0,0.53,0,0.02,1.72,"100"
Castellbisbal,0,0.69,0,2.64,0,11.9,0.07,62.6,16.5,0,0,0,1.59,0,0.46,2.08,0,0,0,0.81,0,0,0.68,"100"
Castellcir,0,0,0,1.44,0,60.13,0,23.37,12,0,0,0,0.62,0,1.98,0.09,0,0,0,0.06,0,0,0.29,"100"
Castelldefels,3.11,0,0,0.71,0,20.39,0,33.3,20.1,0,0,3.19,4.97,0,0,0.02,0.85,0,0,1.62,0.7,0,11.04,"100"
Castellet i la Gornal,0.42,0.72,0,2.06,0.01,15.93,0,51.24,26.41,0,0,0,0.46,0,0.59,0.69,0.03,0,0,0.53,0,0,0.9,"100"
Castellterçol,0,0.03,0,1.07,0,63.89,0,24.41,6.41,0,0,0,1.94,0,0.73,0.07,0.01,0,0,0.38,0,0.02,1.04,"100"
Castellví de la Marca,0.57,0,0,0.21,0.28,13.54,0,69.11,13.28,0,0,0,0.38,0.23,0.01,0.29,0,0,0,0.55,0,0,1.56,"100"
Castellví de Rosanes,0,0.03,0,5.53,0,45.91,0,23.91,21.97,0,0,0,1.54,0,0.21,0.27,0,0,0,0.25,0,0,0.38,"100"
Cerdanyola del Vallès,0,0,0,1.05,0.13,40.58,0.01,41.52,9.45,0,0.04,0,0.98,0.06,0.01,0.2,0.06,0,0,0.83,0,0.01,5.07,"100"
Cervelló,0,0,0,1.77,0.06,55.6,0,24.17,15.63,0,0,0,0.04,1.16,0,0.03,0.01,0,0,0.26,0.12,0,1.14,"100"
Collbató,0,0.28,0,0.52,0.34,37.09,0,30.05,17.33,0,0,0,0.45,0.3,11.7,0.33,0,0,0,0.73,0,0,0.89,"100"
Corbera de Llobregat,0,0.05,0,4.45,0,40.47,0.04,34.2,18.43,0,0,0,0.31,0.2,0,0.05,0,0,0,0.32,0.18,0,1.31,"100"
Cornellà de Llobregat,0,0.84,0,0,0.01,0.41,0.01,65.35,3.19,0,0,0,3.01,0,0,0.41,3.42,0,0,2.75,0,0.22,20.38,"100"
Cubelles,0.79,0.05,0,0.72,0,14.58,0,63.15,16.25,0,0,0.87,1.12,0,0.01,0.94,0,0,0,0.68,0,0,0.83,"100"
Dosrius,0,0,0,0.42,0.1,76.23,0.01,19.54,1.74,0.32,0.27,0,0.09,0.35,0,0.22,0,0,0,0.26,0,0,0.44,"100"
el Masnou,6.11,0,0,0.08,0,2.13,0,58.04,3.63,0,0,3.44,0.34,0,0,0.82,0.09,0,0,2.42,0,0.12,22.78,"100"
el Papiol,0,0.42,0,0.83,0,23.82,0.2,57.09,9.47,0,0,0,2.1,0,0.05,0.98,0.19,0,0,0.89,0.47,0.05,3.43,"100"
el Pla del Penedès,0,0,0,0.55,3.35,1.99,0,87.43,3.94,0,0,0,0.31,0,0,0,0.02,0,0,0.76,0,0,1.66,"100"
el Prat de Llobregat,5.71,1.08,0,0.01,0.23,3.63,0.57,59.89,6.4,0,0,1.04,5.87,0,0,0.39,4.07,0,2.88,3.55,0,0.97,3.71,"100"
Esparreguera,0,0.84,0,0.52,0.02,25.3,0,51.4,15.33,0,0,0,1.01,0.08,0.87,1.4,0.01,0,0,0.77,0,0,2.45,"100"
Esplugues de Llobregat,0,0,0,1.13,0,4.38,0,46.39,20.02,0,0,0,5.1,0.34,0,1.11,2.47,0,0,0.82,0,0.17,18.08,"100"
Figaró-Montmany,0,0,0,0.5,0.43,77.65,0,11.05,8.76,0,0,0,0.18,0.04,0.02,0.11,0,0,0,0.1,0,0,1.16,"100"
Fogars de Montclús,0,0.16,0,1.55,0.81,66.03,0,13.31,15.42,0,0.05,0,1,0.26,0.22,0.06,0,0.35,0,0.39,0,0,0.38,"100"
Font-rubí,0,0,0,0.14,1.07,8.87,0,73.57,11.45,0,0,0,0.04,2.69,0,0,0.03,0,0,0.58,0,0,1.58,"100"
Gallifa,0,0,0,3.18,0,71.91,0,12.38,9.53,0,0,0,1.27,0,0.88,0.01,0,0,0,0.54,0,0,0.3,"100"
Gavà,0.1,0.05,0,0.35,0,23.08,0,41.6,27.76,0,0,0.52,1.77,0.05,0.37,0.32,0.36,0,0,0.76,0,0,2.92,"100"
Gelida,0,0.32,0,3.21,0.02,28.4,0,46.1,18.16,0,0,0,0.33,0,0.04,1.34,0.03,0,0,0.61,0,0,1.44,"100"
Granera,0,0,0,2.96,0,77.54,0,11.56,7.12,0,0,0,0.06,0,0.48,0.01,0,0,0,0.15,0,0,0.11,"100"
Granollers,0,0,0,0.24,0.04,2.36,0,71.77,7.95,0,0,0,2.72,0,0,0.69,0.02,0,0,2.28,0,0.07,11.86,"100"
Gualba,0,0,0,0.29,0.24,76.98,0,15.22,3.39,1.45,0.39,0,0.04,0.62,0.12,0.11,0.01,0.09,0,0.21,0.14,0,0.71,"100"
la Garriga,0,0,0,0.57,0.05,44.4,0,42.16,5.92,0.03,0,0,0.13,0.64,0,0.02,0.02,0,0,0.54,0,0.05,5.47,"100"
la Granada,0,0,0,0.1,0.35,0.19,0,93.32,1.41,0,0,0,0.27,0,0,0.3,0,0,0,0.96,0,0,3.1,"100"
la Llagosta,0,0,0,0,0,0.39,0,71.57,10,0,8.63,0,0,0,0,1.96,0,0,0,1.24,0,0,6.22,"100"
la Palma de Cervelló,0,0,0,4.86,0,34.86,0,49.41,7.93,0,0,0,0.1,0,0,0.15,0,0,0,0.89,0.23,0,1.58,"100"
la Roca del Vallès,0,0,0,0.7,0.48,39.53,0,53.89,2.51,0.04,0.17,0,0.34,0.02,0,0.43,0.01,0,0,0.51,0,0,1.35,"100"
l'Ametlla del Vallès,0,0,0,0.26,0,35.38,0.01,58.92,1.04,0,0.15,0,0.02,0.06,0,0.15,0,0,0,0.61,0,0,3.4,"100"
les Cabanyes,0,0,0,0,0,0,0,90.03,1.25,0,0,0,0.04,0,0,0,0,0,0,0.66,0,0,8.03,"100"
les Franqueses del Vallès,0,0,0,0.08,0.06,23.5,0,69.53,2.78,0.03,0.06,0,0.42,0.05,0,0.27,0,0,0,0.85,0,0,2.36,"100"
l'Hospitalet de Llobregat,0,0.14,0,0,0,0.12,0,59.29,1.59,0,0,0,1.51,0,0,0.15,5.68,0,0,3.05,0,0.13,28.33,"100"
Lliçà d'Amunt,0,0,0,0.35,0.3,37.23,0,58.66,1.54,0,0.04,0,0.12,0,0,0.09,0,0,0,0.28,0,0.04,1.35,"100"
Lliçà de Vall,0,0,0,0.83,0.07,24.12,0,69.76,2.14,0,0.13,0,0.03,0,0,0.31,0,0,0,1.01,0,0.03,1.56,"100"
Llinars del Vallès,0,0,0,0.09,0.12,57.3,0,36.27,1.1,0,1.46,0,0.15,0.13,0,0.4,0.09,0,0,1.06,0,0.02,1.82,"100"
Malgrat de Mar,0.85,0,0,1.26,0,4.06,0,73.01,6.85,0,1.45,2.59,0.51,0.88,0,1.32,0,0,0,0.96,0,0,6.25,"100"
Martorell,0,1.16,0,1.7,0,5.18,0.02,68.23,14.88,0,0,0,1.17,0.11,0.03,1.59,0.02,0,0,2.28,0,0,3.63,"100"
Martorelles,0,0,0,0,0,14.75,0,63.56,8.97,0,3.12,0,0,0,0,0.63,0,0,0,0.42,0,0,8.56,"100"
Matadepera,0,0,0,0.67,0,75.71,0,8.46,5.74,0,0,0,0.28,0,6.47,0.64,0.01,0,0,0.33,0,0,1.69,"100"
Mataró,0.77,0,0,0.87,0,10.04,0,68.01,5.02,0,0,0.78,0.07,2.25,0,0.79,0.18,0,0,1.22,0,0.19,9.81,"100"
Mediona,0,0,0,0.53,0,26.26,0,50.63,9.69,0,0,0,0.07,11.75,0,0.12,0,0,0,0.26,0,0,0.68,"100"
Molins de Rei,0,0.52,0,1.28,0,36.71,0.13,42.36,11.29,0,0,0,1.6,0,0.02,0.3,0.35,0,0,0.75,0,0,4.7,"100"
Mollet del Vallès,0,0,0,0,0,5.78,0,77.82,3.77,0,0.38,0,0.14,0,0,0.63,0,0,0,1.32,0,0.06,10.08,"100"
Montcada i Reixac,1.3,0,0,2.7,0.04,21.81,0,45.74,15.68,0,0.18,0,2.53,0.2,0,0.78,0.47,0,0,1.86,0.97,0.03,5.7,"100"
Montgat,0.77,0,0,2.53,0,1.97,0,61.37,12.23,0,0,2.97,0.12,0.74,0,0.47,2.01,0,0,2.07,0,0,12.76,"100"
Montmeló,0,0,0,0,0,4.78,0.24,70.59,10.76,0,0.34,0,0.96,0,0,1.88,0,0,0,2,0,0,8.44,"100"
Montornès del Vallès,0,0,0,0.12,0,23.21,0,61.78,7.66,0,2.3,0,0,0,0,0.71,0,0,0,0.99,0,0,3.23,"100"
Montseny,0,0,0,1.49,0.99,66.55,0,8.06,18.28,0,0,0,1.32,0.21,0.59,0.1,0,1.79,0,0.43,0,0,0.19,"100"
Olèrdola,0,0,0,0.91,0,16.35,0,47.47,30.8,0,0,0,0.29,0.46,1.29,0.23,0.03,0,0,0.4,0.11,0,1.65,"100"
Olesa de Bonesvalls,0,0,0,3.51,0,31.54,0,13.77,46.88,0,0,0,0.92,1.18,1.01,0.59,0,0,0,0.24,0,0,0.35,"100"
Olesa de Montserrat,0,0.67,0,1.32,0,12.38,0,60.23,18.49,0,0,0,0.78,0,0.26,0.8,0,0,0,0.88,0,0.05,4.15,"100"
Olivella,0,0,0,1.08,0,44.38,0,14.79,38.24,0,0,0,0.07,0,0.26,0.77,0,0,0,0.12,0,0,0.3,"100"
Òrrius,0,0,0,1.89,0,61.4,0,31.36,3.64,0,0,0,0.16,0.22,0.03,0.11,0,0,0,0,0,0,1.2,"100"
Pacs del Penedès,0,0,0,0.51,1.76,1.47,0,86.9,6.15,0,0,0,0.43,0,0,0.05,0,0,0,0.36,0,0,2.38,"100"
Palafolls,0,0,0,2.18,0.24,41.68,0,48.73,3.79,0,0,0,0.28,0,0,1.55,0,0,0,0.42,0,0,1.13,"100"
Palau-solità i Plegamans,0,0,0,0.86,0.21,23.06,0,66.95,5.31,0,0,0,0.11,0,0,0.57,0.02,0,0,0.52,0,0,2.4,"100"
Pallejà,0,0.95,0,4.77,0,24.94,0,45.55,17.53,0,0,0,1.71,0.08,0,0.34,0.06,0,0,0.93,0.1,0,3.03,"100"
Parets del Vallès,0,0,0,0.3,0,1.65,0.02,83.08,3.65,0,0.03,0,0.1,0,0,1.35,0,0,0,1.27,0,0,8.55,"100"
Pineda de Mar,0.13,0,0,1.13,0.1,18.1,0,61.12,10.84,0,0,1.91,0.49,1.73,0,0.04,0,0,0,0.66,0,0.04,3.72,"100"
