field_1,1987_Aigües continentals,1987_Infraestructures viaries,1987_Urba,1987_Conreus herbacis,1987_Conreus llenyosos,1987_Matollars,1987_Boscos d'esclerofil·les,1987_Boscos de caducifolis,1987_Boscos d'aciculifolis,1987_Vegetació de zones humides,1987_Sòls amb vegetació escassa o nul·la,1987_Zones cremades,1987_Sorrals i platges,NODATA->Sense dades,1992_Aigües continentals,1992_Infraestructures viaries,1992_Urba,1992_Conreus herbacis,1992_Conreus llenyosos,1992_Matollars,1992_Boscos d'esclerofil·les,1992_Boscos de caducifolis,1992_Boscos d'aciculifolis,1992_Vegetació de zones humides,1992_Sòls amb vegetació escassa o nul·la,1992_Sorrals i platges,NODATA->Sense dades_1,1997_Aigües continentals,1997_Infraestructures viaries,1997_Urba,1997_Conreus herbacis,1997_Conreus llenyosos,1997_Matollars,1997_Boscos d'esclerofil·les,1997_Boscos de caducifolis,1997_Boscos d'aciculifolis,1997_Vegetació de zones humides,1997_Sòls amb vegetació escassa o nul·la,1997_Zones cremades,1997_Sorrals i platges,NODATA->Sense dades_2,2002_Aigües continentals,2002_Infraestructures viaries,2002_Urba,2002_Conreus herbacis,2002_Conreus llenyosos,2002_Matollars,2002_Boscos d'esclerofil·les,2002_Boscos de caducifolis,2002_Boscos d'aciculifolis,2002_Vegetació de zones humides,2002_Sòls amb vegetació escassa o nul·la,2002_Zones cremades,2002_Sorrals i platges,NODATA->Sense dades_3,2007_Aigües continentals,2007_Infraestructures viaries,2007_Urba,2007_Conreus herbacis,2007_Conreus llenyosos,2007_Matollars,2007_Boscos d'esclerofil·les,2007_Boscos de caducifolis,2007_Boscos d'aciculifolis,2007_Vegetació de zones humides,2007_Sòls amb vegetació escassa o nul·la,2007_Zones cremades,2007_Sorrals i platges,NODATA->Sense dades_4,2012_Aigües continentals,2012_Infraestructures viaries,2012_Urba,2012_Conreus herbacis,2012_Conreus llenyosos,2012_Matollars,2012_Boscos d'esclerofil·les,2012_Boscos de caducifolis,2012_Boscos d'aciculifolis,2012_Vegetació de zones humides,2012_Sòls amb vegetació escassa o nul·la,2012_Zones cremades,2012_Sorrals i platges,NODATA->Sense dades_5,2017_Aigües continentals,2017_Infraestructures viaries,2017_Urba,2017_Conreus herbacis,2017_Conreus llenyosos,2017_Matollars,2017_Boscos d'esclerofil·les,2017_Boscos de caducifolis,2017_Boscos d'aciculifolis,2017_Vegetació de zones humides,2017_Sòls amb vegetació escassa o nul·la,2017_Zones cremades,2017_Sorrals i platges,NODATA->Sense dades_6
Abrera,0,0,18.4,13.27,21.92,24.01,1.46,0.26,16.88,0,3.8,0,0,0,1.18,1.89,14.34,10.51,15.14,29.13,0.56,0.14,17.36,0,9.75,0,0,0.96,4.46,19.48,12.11,11.85,28.93,0.36,1.33,9.86,0,10.66,0,0,0,0.58,4.7,20.84,13.63,10.47,29.15,0.33,1.1,9.73,0,9.47,0,0,0,0.94,3.57,23.25,16.06,6.62,26.83,0.11,0.85,16.76,0,5.02,0,0,0,0.73,3.57,23.25,19.76,4.66,31.3,0.23,2.41,9.45,0,4.65,0,0,0,1.02,3.52,24.07,19.29,4.72,25.09,0.26,1.9,16.84,0.06,3.22,0,0,0
Aiguafreda,0,0,7.47,3.67,0,32.21,14.21,0.54,41.36,0,0.53,0,0,0,0,0.23,9.11,4.2,0,24.27,12.46,0.39,49.16,0,0.19,0,0,0,0.67,8.11,2.65,0,21.77,12.75,0.36,53.54,0,0.15,0,0,0,0,1.13,8.56,3.33,0,18.21,14.44,0.56,52.91,0,0.85,0,0,0,0,0.99,10.71,1.24,0,5.56,26.91,8.07,46.53,0,0,0,0,0,0,0.99,10.73,1.63,0,4.94,23.08,8.63,50,0,0,0,0,0,0,0.99,11.41,2.2,0,3.19,25.71,5.67,50.78,0,0.06,0,0,0
Alella,0,1.75,24.07,10.77,20.28,26.64,2.64,0,13.3,0,0.55,0,0,0,0,3.14,27.33,6.91,9.99,35.93,1.98,0,13.63,0,1.1,0,0,0,3.99,34.5,8.62,7.08,21.15,1.3,0,18.94,0,4.42,0,0,0,0,4.12,34.39,9.13,7.21,21.29,1.36,0,18.86,0,3.64,0,0,0,0,1.93,29.2,7.23,5.66,37.62,3.6,0.29,12.63,0,1.82,0,0,0,0,1.92,29.21,3.72,9.37,35.42,6.2,0.46,12.71,0,0.99,0,0,0,0,1.89,31.11,2.02,8.91,31.72,8.07,0,15.73,0,0.55,0,0,0
AMB,0.03,3.07,26.28,11.88,2.5,29.39,3.13,0.04,18.11,1.07,3.23,0.12,0.42,0.74,0.21,4.65,28.72,10.22,2.44,24.61,2.01,0.06,19.14,0.93,5.88,0.27,0.86,0.31,6.93,33.39,8.3,2.37,21.36,2.05,0.1,16.11,0.52,7.32,0.08,0.29,0.84,0.3,7.95,33.58,7.93,2.06,20.76,2.16,0.18,16.29,0.48,7.08,0.46,0.24,0.54,0.33,6.47,33.87,8.2,1.74,19.29,0.9,0.48,22.23,0.28,5.72,0,0.35,0.14,0.44,6.67,33.93,10.3,0.96,24.79,3.74,0.69,14.24,0.21,3.66,0.02,0.32,0.02,0.42,6.65,35.05,9.65,1.2,19.69,3.2,0.51,20.59,0.34,2.44,0.02,0.21,0.04
Arenys de Mar,0,1.33,19.25,31.49,33.79,5.19,0,0,2.83,0,2.39,0,2.14,1.59,0,1.42,21.83,47.98,13.55,1.81,0,0,5.97,0,2.81,2,2.62,0,19.37,27.54,28.36,0.4,1.69,0,0,9.91,0,9.24,0,3.24,0.24,0,19.1,27.35,28.56,0.24,1.68,0,0,9.72,0,9.49,0,3.38,0.5,0,12.6,30.56,11.1,0,32.96,0,0,6.16,0,4.3,0,2.18,0.15,0,12.67,30.44,9.44,0.27,36,0,0,6.02,0,2.69,0,2.37,0.1,0,12.63,33.05,6.03,0,36.32,0.22,0,7.29,0,2.76,0,1.45,0.24
Arenys de Munt,0,0,4.87,14.51,28.27,25.99,9.63,2.85,13.22,0,0.67,0,0,0,0,0,6.5,24.51,16.35,13.94,13.52,1.81,23.26,0,0.12,0,0,0,0.93,8.51,19.37,9.62,10.19,16.58,1.93,30.04,0,2.84,0,0,0,0,0.95,8.64,19.81,9.05,10.25,16.46,1.66,30.39,0,2.8,0,0,0,0,0.34,10.11,2.28,0,36.58,24.64,1.56,23.52,0,0.99,0,0,0,0,0.34,10.07,2.53,0.3,38.94,23.88,2.17,20.97,0,0.8,0,0,0,0,0.34,11.04,3.58,0.22,28.69,25.41,0.91,29.4,0,0.41,0,0,0
Argentona,0,0,4.82,21.27,2.05,16.79,7.55,0.31,46.79,0,0.42,0,0,0,0,0,9.02,21.78,0.21,11.73,6.14,0,50.23,0,0.89,0,0,0,6.28,16.89,13.6,0.07,7.27,5.25,0.2,49.14,0,1.29,0,0,0,0,6.33,16.8,13.58,0.05,7.05,5.38,0.21,49.25,0,1.34,0,0,0,0,2.87,14.35,7.32,0.12,19.24,11.52,1.02,42.08,0,1.47,0,0,0,0.03,2.89,14.35,8.77,0.06,21.17,14.42,1.27,36.57,0,0.46,0,0,0,0,2.67,15.26,8.5,0.09,11.08,13.69,0.55,47.69,0,0.48,0,0,0
Avinyonet del Penedès,0,0.49,0.54,2.02,41.94,25,0,0.56,3.45,0,2.46,23.54,0,0,0,0.49,2.2,0.36,45.09,43.2,0,0.5,6.88,0,1.28,0,0,0,0.67,3.11,1.09,44.43,36.8,0,1.24,9.39,0,0.65,2.62,0,0,0,0.72,2.93,1.67,44.6,34.67,0,1.13,9.01,0,0.48,4.78,0,0,0,0.56,4.32,1.04,44.38,32.07,0.04,1.56,15.82,0,0.21,0,0,0,0,0.56,4.32,1.86,45.19,31.45,0.03,1.15,15.27,0,0.17,0,0,0,0,0.56,4.64,2.32,45.92,30.13,0.07,0.42,15.69,0,0.24,0,0,0
B30,0,1.89,20.48,26.14,2.46,16.16,4.47,0.09,25.64,0,2.16,0.51,0,0,0.06,3.38,22.08,24.09,1.56,13.72,3.28,0.04,26.21,0,5.58,0,0,0.08,4.94,28.16,20.41,1.26,11.22,3.98,0.48,22.13,0,7.36,0,0,0,0.08,5.36,28.51,19.53,1.22,10.86,4.03,0.49,21.97,0,7.7,0.25,0,0,0.02,3.95,30.06,17.84,0.82,14.43,2.62,0.79,26.01,0,3.46,0,0,0,0.09,3.95,30.1,19.22,0.51,18.12,4.75,0.99,19.61,0,2.67,0,0,0,0.11,3.92,31.37,19.06,0.97,12.64,4.14,0.98,25.22,0.01,1.53,0.05,0,0
Badalona,0,2.44,42.33,1.11,3.53,42.33,0.79,0,2.77,0,3.29,0,1.26,0.13,0,3.13,48.39,2.79,0.3,29.26,0,0.26,5.08,0,9.3,1.25,0.25,0,8.25,45.9,2.14,0.45,30.08,0,0,3.14,0,8.8,0,0.54,0.71,0,8.25,47.8,2.62,0.48,24.31,0,0,2.83,0,8.14,4.83,0.45,0.3,0,6.95,47.04,1.69,0.7,32.66,1.2,0.05,2.94,0,5.9,0,0.83,0.04,0.02,6.98,47.42,3.78,0.14,33.16,1.89,0.31,2.48,0,3.01,0,0.81,0.01,0,6.87,48.83,3.02,0.38,32.01,1.01,0.32,4.3,0,2.35,0.24,0.61,0.06
Badia del Vallès,0,21.5,68.66,7.62,0.68,1.54,0,0,0,0,0,0,0,0,0,27.19,58.63,3.47,0,4.92,0,0,0,0,5.79,0,0,0,33.46,56.41,0.58,0,1.93,0,0,0,0,7.62,0,0,0,0,34.33,52.36,0.77,0,3.18,0,0,0,0,9.35,0,0,0,0,15.04,64.71,2.31,0,6.75,0,0,0.87,0,10.32,0,0,0,0,15.33,64.9,2.22,0,9.84,0,0,0.19,0.96,6.56,0,0,0,0,15.14,67.41,1.35,0.58,9.84,0,0,3.38,0,2.31,0,0,0
