nommuni,NODATA->Zona sense polígons,Aigues continentals,Boscos clars (no de ribera),Boscos de ribera,Boscos densos (no de ribera),Conreus,Matollars,Platges,Prats i herbassars,Reforestacions recents,Roquissars,Sols nus forestals,Tarteres,Vegetacio d'aiguamolls,Vies de comunicacio,Zones d'extraccio minera,Zones esportives i ludiques,Zones recent cremades,Zones urbanitzades,Total
Abrera,"0","0.63","0.18","0","28.93","32.13","12.29","0","5.12","0","0","2.73","0","0","1.78","1.89","0.11","0.01","14.19","100"
Aiguafreda,"5.2","0","0.96","0.46","71.98","3.26","8.12","0","0","0","0.06","0.04","0","0","0.03","0.11","0","0","9.79","100"
Alella,"0","0","1.64","0","28.84","23.22","13.71","0","3.88","0","0","0.06","0","0","0.87","0","0","0","27.77","100"
Arenys de Mar,"1.99","0","0.49","0","16.31","24.2","10.45","1.96","8.16","0","0","10.05","0","0","0.35","0","1.49","0","24.55","100"
Arenys de Munt,"0","0","0.3","0","57.89","29","3.12","0","2.75","0","0","0.65","0","0","0.01","0.08","0","0","6.2","100"
Argentona,"0","0","0.95","0","63.16","19.31","3.87","0","0.52","0","0","0.32","0","0","0.51","0.04","0","0","11.33","100"
Avinyonet del Penedès,"0","0.08","0.33","0","15.55","48.97","32.03","0","0.26","0","0.03","0.21","0","0","0.68","0.02","0.03","0","1.81","100"
Badalona,"0.64","0","0.89","0","5.76","3.6","28.06","0.56","0.73","0","0","4.07","0","0","2.32","1.9","0","0","51.46","100"
Badia del Vallès,"0","1.94","0","0","0.01","15.47","0.01","0","4.29","0","0","0.53","0","0","10.69","0","6.08","0","60.97","100"
Barberà del Vallès,"0","0.13","0.17","0","3.94","21.07","3.69","0","9.55","0","0","2.72","0","0","3.16","0","0.15","0","55.42","100"
Barcelona,"2.52","0.13","0.05","0","10.92","0.34","6.85","0.17","0.7","0","0","0.16","0","0","0.53","0.08","0.02","0.03","77.5","100"
Begues,"0","0","0.34","0","26.51","7.98","59.53","0","0.21","0","0.21","0.05","0","0","0.46","1.4","0.14","0","3.19","100"
Bigues i Riells,"0","0","0.36","0","56","19.68","10.12","0","0.02","0","0.87","0.08","0","0","0.21","0.63","0.05","0","11.97","100"
Cabrera de Mar,"0","0","0.65","0","28.66","41.76","4.95","0.38","1.27","0","0","0.39","0","0","1.98","0","0","0","19.95","100"
Cabrils,"0","0","0.56","0","49.51","10.15","4.46","0","0.5","0","0","0.08","0","0","0.75","0","0","0","33.99","100"
Caldes d'Estrac,"3.63","0","1.48","0","24.2","1","2.25","2.84","4.01","0","0","1.58","0","0","0","0","0","0","59.01","100"
Caldes de Montbui,"0","0.05","0.32","0","56.66","25.99","5.69","0","0.47","0","0.13","0.43","0","0","0.92","0.33","1.07","0","7.96","100"
