field_1,NODATA->Zona sense polÃ­gons,Aiguamolls,Aigues continentals,Basses urbanes,Boscos clars (no de ribera),Boscos clars de ribera,Boscos densos (no de ribera),Boscos densos de ribera,Canals i basses i agricoles,Conreus,Matollars,Plantacions de platans,Plantacions de pollancres,Platges,Prats i herbassars,Roquissars,Sols nus forestals,Sols nus urbans,Tarteres,Vies de comunicacio,Zones cremades,Zones d'extraccio minera,Zones esportives i ludiques,Zones urbanitzades,Total
Abrera,0,0,0.83,0.01,1.78,0,25.45,3.23,0.03,21.42,16.39,0,0.35,0,2.35,0.06,1.99,0.28,0,2.47,0,1.02,0.27,22.07,"100"
Aiguafreda,0,0,0.01,0,1.5,0,81.59,0.61,0.02,3.26,2.05,0.04,0.01,0,0.65,0.03,0.03,0.09,0,0.33,0,0.12,0.2,9.45,"100"
Alella,0,0,0,0,1.79,0,26.41,0.14,0.06,18.67,17.09,0,0,0,2.68,0.05,0.8,0,0,2.67,0,0.2,0.62,28.82,"100"
AMB,0.33,0,0.5,0.01,1.15,0.01,24.12,0.43,0.01,9.61,15.3,0.03,0.05,0.29,3.1,0.1,0.69,0.28,0,6.31,0.39,0.8,1.63,35.18,"100"
Arenys de Mar,0.13,0,0,0,1.14,0,18.3,0,0.04,12.86,11.86,0,0,2.17,8.9,0.01,2.24,0.41,0,11.59,0,0.52,2.82,27.01,"100"
Arenys de Munt,0,0,0,0,0.24,0,59.16,0.47,0.07,12.44,9.55,0.32,0.24,0,5.91,0,1.12,0.09,0,0.87,0,0.1,0.17,9.25,"100"
Argentona,0,0,0,0.01,0.69,0,58.96,0.36,0,8.36,8.87,0.11,0.24,0,3.21,0.01,1.02,0.06,0,2.77,0,0.19,0.34,14.8,"100"
Avinyonet del Penedès,0,0,0,0,1.5,0,24.02,1.01,0.06,44.51,20.97,0,0,0,2.23,0.29,0.27,0,0,1.36,0,0.01,0.05,3.72,"100"
B30,0,0,0.2,0,0.61,0.01,32.01,0.15,0.13,17.05,7.92,0.1,0.17,0,3.31,0.28,0.83,0.26,0,4.24,0.42,0.79,1.66,30.13,"100"
Badalona,0.02,0,0,0,0.52,0,8.39,0.05,0,1.68,27.5,0,0.01,0.78,1.78,0.07,0.64,0,0,4.6,0,1.06,1.85,51.06,"100"
Badia del Vallès,0,0,1.2,0,0,0,0.15,0,0,11.28,1.32,0,0,0,2.7,0,0.56,0.88,0,15.41,0,0,6.88,59.62,"100"
Barberà del Vallès,0,0,0.35,0,0.52,0.09,3.91,0.26,0,11.49,4.17,0.11,0.05,0,3.21,0,1.87,0,0,7.53,0,0.1,1.24,65.1,"100"
Barcelona,0.45,0,0.13,0,0.22,0,12.55,0.08,0,0.23,6.09,0.01,0,0.2,0.46,0.01,0.14,0.14,0,9.23,0,0.05,2.87,67.14,"100"
Begues,0,0,0,0,3.41,0.02,26.74,0.04,0.01,5.39,53.99,0,0,0,1.88,0.57,0.1,0.02,0,0.39,0,2.18,0.18,5.07,"100"
Bigues i Riells,0,0,0.01,0,0.47,0.01,45.58,1.4,0.02,12.62,13.03,0.28,0.19,0,2.46,1.14,0.33,0.09,0,0.43,0,1.21,0.27,20.46,"100"
Cabrera de Mar,0,0,0.4,0,0.25,0,71.64,1.41,0.01,15,2.25,0.8,0.34,0,1.03,0.05,0.07,0,0.08,0.34,0,0,0.19,6.16,"100"
Cabrils,0.01,0,0,0,0.49,0,25.43,0,0.04,25.63,10.95,0,0,0.64,2.92,0,0.55,0.66,0,5.22,0,0.16,0.51,26.78,"100"
Caldes de Montbui,0,0,0,0,0.93,0,39.67,0,0.03,4.43,5.83,0,0,0,2.14,0,0.8,0.52,0,1.49,0,0,1.19,42.97,"100"
Caldes d'Estrac,0,0,0.06,0,0.31,0,52.55,1.2,0.05,20.39,5.68,0.11,0.09,0,1.51,0.08,0.59,0.05,0,0.99,0,0.45,2.02,13.88,"100"
Calella,0.51,0,0,0,0.05,0,17.75,0,0,0.16,6.63,0,0,5.83,4.46,0,0,0.69,0,3.6,0,0,1.5,58.84,"100"
Campins,0.12,0,0,0,1.33,0,31.57,0.04,0.1,11.22,20.18,0,0.08,2.26,6.85,0.06,0.68,0.01,0,4.17,0,0.09,2.03,19.23,"100"
Canet de Mar,0,0,0,0,0.13,0,74.89,2.51,0.06,9.95,3.98,1.23,0.13,0,0.78,0,0.03,0,0,0.48,0,0.24,0.02,5.57,"100"
Canovelles,0.43,0,0,0,0.07,0,35.95,0,0.14,8.87,6.4,0,0.09,2.44,9.85,0.01,1.15,0.73,0,3.59,0,0,1.98,28.3,"100"
Cànoves i Samalús,0,0,0.02,0,0.07,0,16.64,1.64,0.01,28.59,1.98,0.05,0.33,0,2.53,0,0.64,0,0,4.42,0,0.17,0.83,42.07,"100"
Canyelles,0,0,0,0,3.95,0,35.03,0.14,0,10.89,19.18,0,0,0,3.07,0.87,0.54,0,0,1.17,0,0.02,0.16,24.97,"100"
Cardedeu,0,0,0,0,0.02,0,18.46,0.42,0.11,42.03,3.85,0.3,1.3,0,2.38,0,0.29,0.08,0,2.25,0,0,1.27,27.24,"100"
Castellar del Vallès,0,0,0.04,0,0.38,0.01,65.6,0.38,0.01,7.83,6.43,0.1,0.01,0,1.19,1.65,0.52,0.05,0,0.5,0,1.32,0.3,13.69,"100"
Castellbisbal,0,0,1.03,0,1.33,0,22.99,0.28,0.07,12.38,19.83,0,0.01,0,4.1,0.56,1.55,0.03,0,7.01,5.71,0.53,0.29,22.29,"100"
Castellcir,0,0,0.05,0,1.96,0,72.92,0.98,0.01,12.54,4.71,0.1,0,0,2.93,1.45,0.55,0,0,0.04,0,0,0.06,1.69,"100"
Castelldefels,0.65,0,0,0.18,0.13,0,12.17,0,0.05,1.27,15.19,0,0.04,3.79,2.56,0.07,0.22,0.09,0.01,4.28,0.04,0,4.53,54.73,"100"
Castellet i la Gornal,0,0,1.4,0,1.9,0,29.63,0.32,0.01,35.78,20.39,0,0,0,1.55,0.71,0.29,0,0,1.61,0,1.36,0.04,4.99,"100"
Castellterçol,0,0,0,0,0.79,0.06,70.81,0.81,0,13.51,6.47,0,0,0,2.37,0.56,0.7,0.04,0,0.42,0,0,0.46,3.01,"100"
