field_1,NODATA->Zona sense polÃ­gons,Aigues continentals,Basses urbanes,Boscos clars (no de ribera),Boscos clars de ribera,Boscos densos (no de ribera),Boscos densos de ribera,Canals i basses i agricoles,Conreus,Matollars,Plantacions de platans,Plantacions de pollancres,Platges,Prats i herbassars,Roquissars,Sols nus forestals,Sols nus urbans,Tarteres,Zones cremades,Zones d'extraccio minera,Zones urbanitzades,Total
Abrera,0,0.84,0.06,1.83,0,25.41,3.04,0,20.48,15.53,0,0.21,0,3.91,0.06,1.73,6.16,0,0,0.02,20.71,"100"
Aiguafreda,0,0,0,2.94,0,12.62,2.9,0,8.2,37.89,0,0.36,0,29.78,0.75,0.46,0.15,0,0,0,3.96,"100"
Alella,0,0,0.03,1.82,0,27.3,0.14,0.08,17.95,17.11,0,0,0,3.09,0.05,0.91,0.52,0,0,0,31.01,"100"
AMB,0.15,0.92,0.1,2.24,0.02,21.27,0.48,0.1,10.5,12.61,0.12,0.12,0.27,6.09,0.64,1.26,3.54,0,0,0.02,40.95,"100"
Arenys de Mar,0.2,0,0,1.14,0,17.9,0,0.04,13,10.45,0,0,2.1,8.73,0.01,1.73,4.24,0,0,0,40.46,"100"
Arenys de Munt,0,0,0.02,0.66,0,58.79,0.47,0.07,12.25,9.38,0.32,0.24,0,5.85,0,1.12,0.95,0,0,0,9.88,"100"
Argentona,0,0,0.03,0.72,0,58.9,0.36,0.01,8.17,8.75,0.11,0.24,0,3.53,0.01,0.92,1.1,0,0,0,17.16,"100"
Avinyonet del Penedès,0,0.01,0.1,4.56,0.01,11.35,1.42,0.04,49.29,14.44,0.11,0.01,0,9.46,0.65,0.54,1.53,0,0,0.01,6.46,"100"
B30,0,0.22,0.05,4.91,0.13,28.16,1.73,0.01,13.84,16.47,1.59,0.33,0,10.03,2.75,2.73,2.03,0,0,0.04,16.92,"100"
Badalona,0.03,0,0,0.46,0,8.47,0.05,0,1.5,28.61,0,0.01,0.78,2.39,0.09,0.46,3.84,0,0,0,53.31,"100"
Badia del Vallès,0,0.7,0.16,1.24,0,21.19,3.57,0,12.86,20.94,0,0.62,0,19.5,1.05,11.41,0.34,0,0,0,6.42,"100"
Barberà del Vallès,0,0.02,0,12.07,0.44,17.36,1.24,0,12.79,18.96,0.17,0.39,0,6.91,8.08,5.07,0.57,0,0,0,15.92,"100"
Barcelona,0.18,0.09,0.11,0.25,0,12.72,0.08,0,0.31,6.09,0.01,0,0.22,0.84,0.02,0.14,3.75,0,0,0,75.19,"100"
Begues,0,0.06,0.02,3.83,0,10.35,0.91,0.1,10.8,16,0.09,0.13,0,5.41,1.77,1,0.25,0,0,0,49.27,"100"
Bigues i Riells,0,0.4,0.01,6.67,0.08,22.66,1.64,0.03,20.81,23.81,0.49,0.18,0,12.15,2.54,0.68,0.37,0,0,0,7.47,"100"
Cabrera de Mar,0,0.04,0.02,5.49,0.03,27.37,1.57,0.01,9.1,15.89,0.37,0.28,0,32.95,0.73,1.42,0.13,0,0,0,4.6,"100"
Cabrils,0.12,0,0.01,0.71,0,25.33,0,0.05,26.04,10.95,0,0,0.53,3.16,0,0.52,2.13,0,0,0,30.44,"100"
Caldes de Montbui,0,0,0.06,1.13,0,41.75,0,0.03,4.58,6.87,0,0,0,2.81,0,0.8,1.57,0,0.21,0,40.19,"100"
Caldes d'Estrac,0,0.04,0,4.12,0.34,23.08,1.93,0.01,10.83,19.27,0.38,0.16,0,23.21,6.13,4.05,1.82,0,0,0,4.63,"100"
Calella,0.54,0,0,0.05,0,17.73,0,0,0.16,7.2,0,0,5.79,4.28,0,0.41,2.32,0,0,0,61.51,"100"
Campins,0.08,0,0.03,1.58,0,31.39,0.04,0.1,10.84,19.41,0,0.08,2.14,6.86,0.06,0.87,1.96,0,0,0.09,24.48,"100"
Canet de Mar,0,0,0,0.33,0,74.64,2.53,0.06,10.08,4.04,1.22,0.13,0,1.59,0,0.02,0.44,0,0,0,4.92,"100"
Canovelles,0.28,0,0.01,0.07,0,35.9,0,0.14,9.19,6.11,0,0.09,2.6,8.04,0.01,1.91,2.88,0,0,0,32.77,"100"
Cànoves i Samalús,0,0.1,0.19,14.54,0.01,25.45,1.17,0.01,12.35,20.35,0.07,1.09,0,12.79,4.11,0.95,0.18,0,0,0,6.66,"100"
Canyelles,0,0.07,0.02,3.49,0.17,25.46,1.12,0,14.2,28.77,2.38,0.53,0,13.16,2.75,1.98,0.67,0,0,0,5.24,"100"
Cardedeu,0,0.03,0,1.47,0.02,13.77,8.02,0.09,23.17,18.22,0.08,1.08,0,8.4,0.35,0.76,2.58,0,0,0,21.97,"100"
Castellar del Vallès,0,0.11,0.02,5.32,0.02,13.48,2.54,0.04,6.87,10.91,14.33,0.17,0,31.79,2.53,7.59,0.65,0,0,0,3.63,"100"
Castellbisbal,0,0.96,0.06,1.54,0.01,24.22,0.27,0,12.88,23.39,0,0.01,0,5.49,0.55,1.65,3.19,0,0.07,0.01,25.69,"100"
Castellcir,0,0.02,0.03,5.05,0.21,20.27,2.81,0.12,34.62,17.21,0.12,0.24,0,7.93,2.99,0.92,0.57,0,0,0,6.9,"100"
Castelldefels,0.5,0.03,1.39,6.43,0,15.45,0.32,0.11,3.46,8.28,0.13,0.07,3.98,9.16,1.99,1.3,1.42,0,0,0,45.99,"100"
Castellet i la Gornal,0,0.08,0.06,4.27,0.03,13.91,1.16,0.02,36.18,15.06,0.34,0.36,0,11.01,9.28,0.77,0.46,0,0,0,7.02,"100"
Castellterçol,0,0.28,0.02,6.72,0.02,18.17,1.55,0.03,13.4,45.48,0.05,0.12,0,7.85,1.84,0.78,0.41,0,0,0,3.29,"100"
Castellví de la Marca,0,0,0,0.67,0,21.31,0.79,0,60.49,10.88,0,0,0,0.64,0.04,0.3,0.74,0,0,0,4.14,"100"
Castellví de Rosanes,0,0.09,0.01,1.89,0.05,66.08,0.47,0,9.25,10.12,0,0.05,0,3.01,0.12,0.42,0.27,0,0,0,8.16,"100"
Cerdanyola del Vallès,0,0.07,0.04,0.73,0,44.89,0.45,0,8.78,7.31,0.08,0.33,0,3.47,0.02,0.88,3.72,0,0,0.02,29.21,"100"
Cervelló,0,0,0.01,6.5,0.22,51.08,0.78,0.01,6.94,10.5,0.06,0.25,0,8.16,0.49,0.97,2.46,0,0,0.01,11.54,"100"
Collbató,0,0,0.02,1.76,0,34.42,1.62,0,12.05,16.52,0,2.43,0,2.99,16.47,0.57,0.52,0,0,0,10.64,"100"
Corbera de Llobregat,0,0.04,0.01,2.31,0.03,48.5,0.46,0,3.72,10.43,0,0.01,0,3.42,0.02,0.49,0.83,0,0,0,29.73,"100"
Cornellà de Llobregat,0,0.44,0.08,0,0,0.01,0,0,5.52,2.07,0,0,0,4.45,0,1.79,6.34,0,0,0,79.29,"100"
Cubelles,0.17,1.31,0.05,6.39,0.01,20.62,3.32,0.01,9.69,14.99,0.65,0.08,0,16.03,21.09,2.11,0.86,0,0,0,2.6,"100"
Dosrius,0,0,0,0.15,0,78.36,0.45,0.01,5.55,3.24,1.61,0.93,0,2.09,0,0.23,0.97,0,0,0,6.4,"100"
el Masnou,0.45,0,0.05,0.34,0,0.22,0.17,0.02,6,6.44,0,0,5.53,1.15,0,1.34,4.46,0,0,0,73.81,"100"
el Papiol,0,0.6,0.07,5.27,0,28.59,0.04,0,12.65,19.04,0,0,0,3.97,0,1.24,8.4,0,0,0.19,19.94,"100"
el Pla del Penedès,0,0,0,0.54,0.08,6.42,6.1,0,75.87,3.98,0,0,0,2.08,0,0.09,0.34,0,0,0,4.5,"100"
el Prat de Llobregat,1.94,7.99,0.34,0.21,0,2.11,0.07,1.08,10.47,2.53,0,0,0.87,10.61,0,3.32,12.58,0,0,0,45.74,"100"
Esparreguera,0,0.23,0.01,3.74,0.03,28.83,2.83,0.01,17.57,21.92,0.17,0.71,0,6.53,1.23,2.72,2.98,0,0,0,10.48,"100"
Esplugues de Llobregat,0,0,0.12,0.9,0,0.54,0,0,1.92,12.25,0,0,0,3.33,0,1.11,5.97,0,0,0,73.86,"100"
Figaró-Montmany,0,0.65,0,7.77,0,15.03,4.14,0,4.37,29.77,0.16,0,0,29.26,4.47,0.82,1,0,0,0,2.57,"100"
Fogars de Montclús,0,0.12,0,0.73,0,76.67,2.33,0.02,5.05,9.86,0.2,0.24,0,2.23,0.31,0.14,0.11,0.29,0,0,1.7,"100"
Font-rubí,0,0,0,0.55,0.04,23.44,3.08,0,57.3,9.07,0,0.04,0,2.55,0,0.19,0.39,0,0,0.01,3.34,"100"
Gallifa,0,0.01,0,3.02,0.25,12.59,1.6,0.03,31.55,20.78,0.09,0.11,0,23.6,2.34,0.75,0.16,0,0,0,3.12,"100"
Gavà,0.01,0.41,0.06,1.87,0,9.08,1.01,0.01,26.86,11.03,1.25,0.45,0.65,14.08,1.67,2.95,0.98,0,0,0.11,27.52,"100"
Gelida,0,0.28,0.02,2.04,0.01,41.19,0.56,0,27.31,13.3,0,0.12,0,3.69,0.07,0.84,1.09,0,0,0,9.46,"100"
Granera,0,0.02,0.01,4.7,0.11,14.09,1.7,0,31.7,22.34,0.17,0.61,0,14.84,1.79,1.77,0.58,0,0,0,5.56,"100"
Granollers,0,0.25,0,4.7,0.02,25.02,3.48,0,24.96,18.77,0.23,1.1,0,10.4,4.6,2.97,0.3,0,0,0,3.2,"100"
Gualba,0,0.03,0,1.05,0,72.5,1.29,0,4.37,8.68,2.6,1.25,0,1.28,0.43,0.18,0.79,0.05,0,0,5.49,"100"
la Garriga,0,0.02,0,6.5,0.06,33.74,2.58,0.02,9.85,21.4,0.28,1.61,0,17.67,0.99,0.66,0.12,0,0,0,4.49,"100"
la Granada,0,0,0.01,0,0,0.94,0.4,0,74.98,2.03,0,0,0,2.42,0,0.59,1.62,0,0,0.11,16.89,"100"
la Llagosta,0,0.77,0.29,2.56,0,7.44,0.81,0.04,9.62,31.44,0.46,1.51,0,25.01,0.99,1.19,3.19,0,0,0,14.68,"100"
la Palma de Cervelló,0,0.02,0,6.6,0.27,56.63,0.91,0,4.91,9.75,0,0,0,5.06,0.05,0.23,3.07,0,0,0,12.49,"100"
la Roca del Vallès,0,0.09,0.14,1.38,0.01,37.4,0.94,0.07,21.64,13.62,0.32,0.7,0,7.33,1.4,0.95,2.28,0,0,0,11.77,"100"
l'Ametlla del Vallès,0,0.1,0,9.99,0.37,26.04,1.19,0.01,9.6,26.49,0.14,0.89,0,16.21,1.87,1.53,0.2,0,0,0,5.39,"100"
les Cabanyes,0,0,0,0,0,1.13,0,0,66.37,6.1,0,0,0,3.09,0,0.04,1.28,0,0,0,21.98,"100"
les Franqueses del Vallès,0,0.13,0,12.6,0.15,19.41,1.03,0.07,11.35,30.06,1.49,0.34,0,14.82,1.3,0.79,0.66,0,0,0,5.8,"100"
l'Hospitalet de Llobregat,0,0.18,0.01,0.05,0,0.04,0,0,2.39,1.05,0,0,0,2.66,0,0.31,7.81,0,0,0,85.48,"100"
Lliçà d'Amunt,0,0.07,0,6.02,0.06,15.36,4.47,0.02,14.19,32.6,0.42,1.98,0,11.74,3.75,3.17,0.57,0,0,0,5.58,"100"
Lliçà de Vall,0,0.16,0.06,5.69,0.01,17.34,4.8,0,19.88,33.77,0.63,0.03,0,6.11,5.49,0.83,1.39,0,0,0,3.79,"100"
Llinars del Vallès,0,0,0.17,2.39,0,48.66,2.68,0.02,10.28,10.6,0.09,0.59,0,3.18,0.38,1.34,3.28,0,0,0.01,16.33,"100"
Malgrat de Mar,0.19,0.36,0.03,0.44,0,11.97,0.1,0,34.19,9.68,0,0,3.49,2.98,0,1.06,3.54,0,0,0.18,31.78,"100"
Martorell,0,1,0.15,0.66,0.05,13.7,0.68,0,12.41,16.26,0,0.12,0,6.41,0.07,0.82,2.67,0,0,0,44.99,"100"
Martorelles,0,0,0.02,3.07,0,29.24,0.63,0,19.41,12.38,0,0.49,0,7.33,1.31,1.51,0.43,0,0,0,24.19,"100"
Matadepera,0,0.07,0.09,3.74,0,16.51,2.54,0,8.2,30.05,12.79,0.13,0,8.42,5.28,1.69,1.54,0,0,0,8.95,"100"
Mataró,0.06,0,0.13,0.65,0,21.58,0.12,0.04,12.53,12.08,0,0,0.69,3.87,0,1.52,3.58,0,0,0,43.16,"100"
Mediona,0,0,0.01,2.52,0.01,49.88,0.75,0,28.45,12.17,0,0.02,0,1.7,0.07,0.17,0.24,0,0,0.01,4.01,"100"
Molins de Rei,0,0.93,0.02,4.08,0,47.15,0.51,0,8.08,11.9,0,0,0,3.59,0,0.92,2.14,0,0,0,20.68,"100"
Mollet del Vallès,0,0.1,0.01,19.66,0,20.63,6,0,6.08,27.93,0.49,0.07,0,8,3.28,1.46,0.94,0,0,0,5.33,"100"
Montcada i Reixac,0,0.5,0.08,1.03,0.01,21.06,0.2,0.01,12.92,23.38,0.26,0.29,0,7.85,0.13,1.12,3.95,0,0.02,0.06,27.14,"100"
Montgat,0.2,0,0,0.7,0,5.08,0.07,0,5.29,24.58,0,0,2.58,2.41,0.15,3.36,3,0,0,0,52.59,"100"
Montmeló,0,0.52,1.14,4.01,0,25.58,2.1,0,13.14,25.34,0.86,0,0,6.19,3.02,14.35,0.97,0,0,0,2.79,"100"
