nommuni,2015,2016,2017,2018,2019,2020,2021
Badalona,40.85142466,37.91054645,38.67504155,33.26813889,33.22019178,33.22019178,24.54889807
Barberà  del Vallès,41.69273973,36.56295265,37.96520661,33.26813889,33.73127072,33.73127072,25.30097421
Barcelona,37.81772218,34.74149574,37.38895739,34.69061453,32.71875423,32.71875423,23.57714755
Castellet i la Gornal,13.09573034,17.98092896,17.7389589,14.01525568,12.19562147,12.19562147,0
Cubelles,13.71594675,34.93118785,35.35465181,12.78243017,11.8820274,11.8820274,10.94730769
el Prat de Llobregat,34.94490772,24.15050239,25.20804125,33.86951495,32.52983561,32.52983561,24.13113149
Gavà,15.42831492,29.9798338,30.76721763,14.82660274,15.49750685,15.49750685,11.06233429
Granollers,39.06161644,18.24027624,19.71228814,33.4704507,34.75042254,34.75042254,26.66663912
l'Hospitalet de Llobregat,38.88950413,23.61620879,24.94973988,36.23301449,33.40931507,33.40931507,22.78421788
Martorell,41.12350685,23.22873973,24.15850416,31.48839335,29.50986301,29.50986301,24.74406077
Mataró,26.51555556,43.42666667,44.00427397,23.33450704,22.69966759,22.69966759,16.77764384
Mollet del Vallès,46.26227397,35.95281421,34.99073239,40.45441096,38.50008219,38.50008219,30.61966759
Montcada i Reixac,40.3069146,1.355335196,1.486028986,31.97847701,34.61573003,34.61573003,28.95690808
Pallejà,23.50814085,10.86662088,10.46463014,20.24195335,21.93921283,21.93921283,16.39567867
Rubí,31.27687316,39.43229508,38.16653295,22.96532394,23.55677778,23.55677778,18.61935028
Sabadell,42.11141274,40.00543716,40.03473973,36.39689266,34.05712329,34.05712329,27.57394444
Sant Adrià  de Besòs,42.19603352,41.36854396,43.38541899,40.1459726,37.01035616,37.01035616,25.71807692
Sant Andreu de la Barca,43.16273973,28.84031161,30.69209169,38.62068681,37.93734637,37.93734637,27.7600554
Sant Celoni,31.29509804,26.76307692,27.29087671,25.16090141,25.0289863,25.0289863,19.51482192
Sant Cugat del Vallès,29.38247222,18.40751515,21.42790698,24.14631868,24.89723464,24.89723464,20.31730337
Sant Vicenç dels Horts,28.06326546,31.10084135,32.87732194,30.30520905,30.10393116,30.10393116,24.53421036
Santa Coloma de Gramenet,35.12282192,34.67095628,35.58610959,32.81358127,33.19355372,33.19355372,25.96164835
Santa Margarida i els Monjos,21.84398089,17.29828571,16.84897361,13.52668588,14.86289474,14.86289474,10.38558011
Santa Perpètua de Mogoda,38.92405028,35.79833803,37.64651811,32.0600831,31.93688889,31.93688889,26.20693878
Sitges,12.65102837,11.52511401,13.54586207,26.63153846,13.16020896,13.16020896,0
Terrassa,47.12452055,42.38623229,40.2070137,35.52482192,36.52454795,36.52454795,28.192
Viladecans,16.88991781,16.98913889,19.18123596,21.75651099,25.34597796,25.34597796,17.28543807
Vilafranca del Penedès,18.4904058,16.49701408,17.79532915,15.58823204,15.52551247,15.52551247,11.54005479
Vilanova i la Geltrú,19.38910112,17.54663934,16.26261324,16.07614731,17.51840659,17.51840659,13.38269461
AMB,34.61,29.09,30.86,31.88,31.21,23.2,23.13
B30,39.66,32.22,32.7,32.2,31.94,24.67,25.36
RMB,32.6,28.69,29.83,29.28,28.4,21.4,20.98
