nommuni,totals_capita_2005,totals_capita_2006,totals_capita_2007,totals_capita_2008,totals_capita_2009,totals_capita_2010,totals_capita_2011,totals_capita_2012,totals_capita_2013,totals_capita_2014,totals_capita_2015,totals_capita_2016,totals_capita_2017,totals_capita_2018,totals_capita_2019,totals_capita_2020
Abrera,"12.57","11.91","11.25","9.94","5.75","5.23","5.43","5.16","6.85","4.79","5.47","6.01","7.05","10.21","8.54","6.46"
Alella,"5.21","4.9","4.99","4.7","4.52","4.25","4.2","4.02","3.72","3.59","3.64","3.79","3.95","4.12","3.92","3.09"
l'Ametlla del Vallès,"5.98","5.68","5.94","5.38","4.37","4.11","4.16","4.14","4.06","3.67","3.83","4.14","4.38","4.9","4.69","3.82"
Arenys de Mar,"5.15","4.76","4.71","4.52","4.11","3.84","3.73","3.5","3.16","2.93","3.06","3.22","3.4","3.6","3.38","2.86"
Arenys de Munt,"5.35","4.84","4.94","4.51","4.06","3.85","3.64","3.44","3.35","3","3.13","3.27","3.37","3.98","3.77","3.15"
Argentona,"6.08","5.68","5.66","5.34","4.25","4.1","4.01","3.74","3.92","3.41","3.68","3.66","3.79","4.61","4.36","3.63"
Avinyonet del Penedès,"7.09","6.47","6.5","5.94","4.64","4.31","4.21","3.94","4.1","3.39","3.49","4.01","4.44","5.95","5.37","4.48"
Aiguafreda,"6.68","5.53","5.65","4.96","4.7","4.11","4.21","4.17","3.69","3.37","3.46","3.6","3.76","4.3","4.28","3.62"
Badalona,"3.65","3.45","3.45","3.2","2.89","2.71","2.67","2.57","2.4","2.3","2.48","2.48","2.62","2.84","2.63","2.16"
Barcelona,"4.96","4.63","4.66","4.19","3.73","3.46","3.55","3.45","3.19","3.04","3.18","3.3","3.53","3.74","3.31","2.57"
Begues,"5.81","4.67","4.69","4.27","3.93","3.63","3.56","3.5","3.15","3.08","3.12","3.32","3.56","3.7","3.52","2.41"
Bigues i Riells,"6.92","6.29","6.3","5.58","4.7","4.37","4.28","4.12","3.72","3.5","3.53","3.78","3.88","4.21","4.08","3.42"
les Cabanyes,"5.84","6.14","6.08","5.49","5.01","4.78","4.64","4.2","3.83","4.11","6.48","6.87","8.32","4.79","4.63","3.93"
Cabrera de Mar,"13.39","12.86","12.91","10.75","8.01","7.87","7.86","7.21","7.31","6.25","7.04","6.94","7.43","8.83","8.08","6.62"
Cabrils,"5.39","5.18","5","4.78","4.48","4.32","4.12","4.19","3.89","3.62","3.75","3.81","4.04","4.23","4.11","3.45"
Campins,"7.08","6.21","6.3","6.05","5.45","4.94","4.37","4.07","3.31","3.22","3.8","4.24","4.36","4.16","3.92","3.23"
Canet de Mar,"4.02","3.85","3.78","3.56","3.39","3.13","3.06","2.91","2.71","2.61","2.68","2.81","2.92","3.14","3.07","2.61"
Caldes d'Estrac,"5.27","4.99","4.89","4.68","4.56","4.19","4.2","4.01","3.63","3.45","3.59","3.65","3.79","4.01","3.76","3.19"
Caldes de Montbui,"6.11","5.78","5.86","5.23","4.67","4.61","4.64","4.39","3.95","3.84","3.55","3.75","3.9","4.6","4.4","3.46"
Calella,"4.87","4.64","4.62","4.18","3.86","3.59","3.49","3.54","3.19","3.09","3.2","3.51","3.78","3.87","3.52","2.56"
Canovelles,"6.02","5.85","5.67","5.22","4.06","3.84","3.78","3.59","3.77","2.87","2.95","3.18","3.26","4.23","3.96","3.27"
Canyelles,"5.34","5.02","4.8","4.33","3.8","3.53","3.41","3.28","2.88","2.81","2.98","3.28","3.43","3.6","3.44","2.95"
