nommuni,us_domestic_2020,poblacio_2020,domest_habitant_2020,us_domestic_2019,poblacio_2019,domest_habitant_2019,us_domestic_2018,poblacio_2018,domest_habitant_2018,us_domestic_2017,poblacio_2017,domest_habitant_2017,us_domestic_2016,poblacio_2016,domest_habitant_2016,us_domestic_2015,poblacio_2015,domest_habitant_2015,us_domestic_2014,poblacio_2014,domest_habitant_2014,us_domestic_2013,poblacio_2013,domest_habitant_2013
Abrera,"16178489","12538","1290.36","18534178","12489","1484.04","19689840","12334","1596.39","17127518","12363","1385.39","15601907","12216","1277.17","17293568","12071","1432.65","17941377","12125","1479.7","17660769","12055","1465.02"
Aiguafreda,"7476533","2512","2976.33","7897327","2504","3153.88","6938427","2501","2774.26","7191014","2514","2860.39","6745915","2467","2734.46","6143994","2465","2492.49","6720186","2498","2690.23","7176130","2502","2868.16"
Alella,"27346958","9904","2761.2","30456594","9801","3107.5","32635252","9764","3342.41","28343613","9625","2944.79","28152553","9632","2922.81","29059812","9660","3008.26","29351349","9651","3041.28","30932028","9690","3192.16"
Arenys de Mar,"25985232","15941","1630.09","26997784","15776","1711.32","29840068","15533","1921.08","25057036","15368","1630.47","24648101","15253","1615.95","26638394","15289","1742.32","27703459","15307","1809.86","30556431","15224","2007.12"
Arenys de Munt,"14914180","9121","1635.15","15427933","8931","1727.46","17074665","8838","1931.96","14506694","8728","1662.09","14001883","8638","1620.96","15172448","8736","1736.77","15086102","8654","1743.25","16937750","8588","1972.26"
Argentona,"22507269","12536","1795.41","26773641","12452","2150.15","25584131","12295","2080.86","24378435","12133","2009.27","21725186","12051","1802.77","24936613","11978","2081.87","22545010","11963","1884.56","25931826","11920","2175.49"
Avinyonet del Penedès,,"1697",,,"1701",,,"1669",,,"1653",,,"1665",,,"1652",,,"1675",,,"1705",
Badalona,"225425314","223166","1010.12","249757890","220440","1133","264887501","217741","1216.53","240425287","215848","1113.86","226451682","215634","1050.17","258276799","215654","1197.64","249306158","217210","1147.77","279597249","219708","1272.59"
Badia del Vallès,"12396148","13415","924.05","14783100","13380","1104.87","14411864","13417","1074.15","14198854","13466","1054.42","13637924","13482","1011.57","14582482","13502","1080.02","15426255","13553","1138.22","16857702","13531","1245.86"
Barberà del Vallès,"48779497","33334","1463.36","53824345","33091","1626.56","55988401","32839","1704.94","53048101","32860","1614.37","46196892","32832","1407.07","53204317","32545","1634.79","51576084","32550","1584.52","56883104","32580","1745.95"
Barcelona,"2145950726","1664182","1289.49","2329507765","1636762","1423.24","2544151348","1620343","1570.13","2232814054","1620809","1377.59","2174078811","1608746","1351.41","2362252906","1604555","1472.22","2332439068","1602386","1455.6","2516415504","1611822","1561.22"
Begues,"6684147","7300","915.64","8584322","7098","1209.4","7953736","6961","1142.61","7072799","6830","1035.55","5044614","6736","748.9","4064193","6670","609.32","634152","6620","95.79",,"6590",
Bigues i Riells,"376082","9358","40.19","294766","9092","32.42","14757","9003","1.64",,"8957",,,"8915",,,"8858",,,"8854",,,"8747",
Cabrera de Mar,"10761923","4747","2267.1","12483876","4680","2667.49","12805595","4664","2745.63","11772586","4594","2562.6","10722146","4553","2354.96","11853821","4522","2621.37","10723314","4525","2369.79","12884087","4529","2844.8"
Cabrils,"24247106","7432","3262.53","29157165","7439","3919.5","27309559","7348","3716.6","25608758","7296","3509.97","24073358","7287","3303.6","26900608","7250","3710.43","24252893","7197","3369.86","28522623","7181","3971.96"
Caldes d'Estrac,"6827060","3021","2259.87","7177766","2982","2407.03","7578222","2859","2650.65","6195744","2823","2194.74","6125473","2766","2214.56","6756758","2717","2486.85","6785955","2738","2478.43","7898595","2760","2861.81"
Caldes de Montbui,"17366796","17812","975.01","25931704","17554","1477.25","22586036","17449","1294.4","23680459","17187","1377.81","21271610","17137","1241.27","22993873","17098","1344.83","22315012","17156","1300.71","23737159","17156","1383.61"
Calella,"21903355","19277","1136.24","23731442","19069","1244.5","26476116","18728","1413.72","22759374","18481","1231.5","21618058","18317","1180.22","23807910","18226","1306.26","22932475","18307","1252.66","26377947","18469","1428.23"
Campins,,"541",,,"529",,,"515",,,"498",,,"470",,,"491",,,"521",,,"544",
Canet de Mar,"20467484","14865","1376.89","22025595","14526","1516.29","24731731","14583","1695.93","20397140","14423","1414.21","20180747","14284","1412.82","21845196","14177","1540.89","22203883","14123","1572.18","25095004","14124","1776.76"
Canovelles,"22480659","16829","1335.83","26326530","16629","1583.17","19917552","16317","1220.66","22805235","16145","1412.53","23786371","15937","1492.53","20228855","15906","1271.78","21916236","15954","1373.71","25486508","16009","1592.01"
Cànoves i Samalús,,"3156",,,"3117",,,"2995",,,"2906",,,"2873",,,"2897",,,"2863",,,"2877",
Canyelles,,"4699",,,"4647",,,"4481",,,"4388",,,"4407",,,"4375",,,"4345",,,"4319",
