codimuni,nommuni,ghg_2005,ghg_2005_t,ghg_2006,ghg_2006_t,ghg_2007,ghg_2007_t,ghg_2008,ghg_2008_t,ghg_2009,ghg_2009_t,ghg_2010,ghg_2010_t,ghg_2011,ghg_2011_t,ghg_2012,ghg_2012_t,ghg_2013,ghg_2013_t,ghg_2014,ghg_2014_t,ghg_2015,ghg_2015_t,ghg_2016,ghg_2016_t,ghg_2017,ghg_2017_t
"8001",Abrera,"4.17","980.5747352","3.74","936.1528581","3.81","960.386805","2.64","657.5018195","2.28","586.4416531","2.28","576.0801068","2.15","527.7321569","2.32","581.2148483","2.13","514.4729451","2.07","520.8075512","2.14","525.4080436","2.24","565.8750483","2.26","593.6147749"
"8003",Alella,"5.72","1648.498297","5.1","1564.172225","5.32","1612.688858","5.03","1568.055161","4.28","1330.583627","4.34","1314.225324","4.18","1261.872219","4.48","1362.7486","3.66","1112.554791","3.78","1134.337654","4.21","1221.393098","4.26","1253.007296","4.68","1295.411057"
"8005",l'Ametlla del Vallès,"5.1","70654.76388","4.73","66330.90805","4.82","68229.77284","4.51","65212.84327","4.1","60006.52589","3.85","56516.30957","3.7","54946.21724","3.44","51673.23584","3.18","48350.70918","3.12","47756.06177","3.14","48047.92231","3.33","50853.79598","3.56","54646.64386"
"8006",Arenys de Mar,"5.25","38708.65488","4.76","36781.82096","4.82","37592.01741","4.46","35778.6793","4.01","32829.68872","3.82","31814.3014","3.58","30446.53736","3.41","29107.52024","3.4","29199.93175","3.18","27482.8349","3.29","28732.68189","3.48","30053.7648","3.62","31605.249"
"8007",Arenys de Munt,"6.73","1412.935654","6.24","1304.336857","5.63","1289.419963","5.2","1196.347713","4.55","1092.363478","4.24","1039.44239","4.67","1112.54334","4.18","1023.304167","4.25","914.5874974","3.98","844.6695365","4.27","952.4292865","4.16","943.6318797","4.55","1001.112783"
"8009",Argentona,"6.8","33675.50064","6.38","32367.70887","6.59","34131.69287","6.08","32228.92347","4.03","21903.12496","3.88","21415.83448","3.9","21750.06402","4.06","22577.62899","4.42","24769.74868","3.65","20651.93348","4.07","23037.73799","4.39","24551.3218","4.6","25686.86854"
"8013",Avinyonet del Penedès,"6.53","15065.18041","5.41","12834.42887","5.28","12529.16241","4.89","11866.25419","4.57","11263.21778","4.04","10129.23566","4.14","10278.51678","4.36","10804.59974","3.77","9430.501692","3.49","8727.529494","3.63","8937.38987","3.89","9598.111226","3.99","10040.02469"
"8014",Aiguafreda,"3.62","790501.6963","3.43","760249.529","3.38","730154.829","3.17","682278.2712","2.87","630776.336","2.7","590582.541","2.63","577332.6008","2.55","564290.3163","2.39","524052.7568","2.43","527092.5081","2.54","548638.8424","2.6","559854.4065","2.77","598422.2045"
"8015",Badalona,"4.77","10301.88639","3.83","8347.025238","4.4","9894.352355","3.81","8851.888586","3","7090.727607","3.07","7259.617711","2.86","6784.277796","3.29","7877.203985","3.23","7429.68475","3.17","7060.524648","3.37","7383.869931","3.6","7793.006606","3.7","7957.264854"
"8019",Barcelona,"5.38","29420.78568","4.36","24842.65988","4.42","26079.94663","4.05","24625.10819","3.75","23504.29945","3.53","22418.30923","3.42","21997.83453","3.57","23252.55479","3.17","20904.24189","3.19","21089.51015","3.28","21872.99116","3.51","23611.47443","3.74","25528.98368"
"8020",Begues,"5.21","464.0490416","4.7","465.6491962","5","465.1613682","4.71","428.775915","4.54","417.6330479","4.03","390.79864","4.26","387.9980499","4.2","382.4864094","3.97","352.9492376","4.45","347.1556453","4.45","329.1088321","4.86","364.3773902","4.93","364.7230167"
"8023",Bigues i Riells,"6.21","3217.5107","5.91","3130.421503","5.71","3261.523122","5.26","3203.34331","4.57","2808.221095","4.43","2676.25544","4.47","2657.582932","4.77","2832.998933","4.29","2491.024628","4.11","2217.799285","4.75","2389.653689","5.09","2521.819292","5.52","2647.242653"
"8027",les Cabanyes,"5.68","5362.397874","4.96","5255.315012","4.83","5756.699018","4.48","5707.286406","3.96","5221.422883","3.85","5172.960107","3.76","5094.304017","4","5508.2335","3.87","5175.361512","3.84","5239.895121","3.67","4951.974289","3.92","5289.664526","4.01","5470.826943"
"8029",Cabrera de Mar,"5.25","32735.22859","5.05","32998.69908","4.85","32474.09886","4.67","31922.88039","4.39","30596.86961","4.23","30053.29891","4.02","28909.86083","4.02","28680.44629","3.69","26512.94639","3.69","26555.07759","3.78","27439.05428","3.93","28603.02354","4.21","30690.81567"
"8030",Cabrils,"9.95","32547.53641","8.85","29676.19174","9.12","31330.67427","8.08","28771.754","5.84","21214.30057","5.17","18669.84321","4.02","14158.11655","4.23","14978.71604","4.73","16566.27781","4.19","14550.19009","4.59","15709.80327","4.92","16831.47215","4.94","17171.69276"
"8137",Montseny,"7.29","37485.15246","6.66","35936.0875","6.82","37409.60579","5.96","33762.02405","3.98","22714.64112","3.8","21727.7589","3.78","21684.43935","4.16","24092.41195","4.67","26922.50235","3.55","20424.59392","3.82","22418.27908","4.08","24310.75379","4.27","25875.24092"
"8145",Olèrdola,"8.13","11238.87506","7.54","11349.97407","7.65","11899.83821","6.63","11023.91444","4.27","7423.731384","4.12","7005.372838","3.96","6977.124104","4.25","7459.016997","4.93","8476.592628","3.63","6305.83704","3.87","6637.793103","4.06","6998.233999","4.29","7445.115375"
"8146",Olesa de Bonesvalls,"9.47","199911.3925","7.85","170523.1187","7.6","169058.7805","7.01","160702.2058","5.83","135808.2921","5.66","133725.4659","5.41","129526.9301","5.23","125502.477","5.39","128012.8168","5.22","122792.5004","5.37","126432.1416","5.51","130222.8175","5.69","134039.6887"
"8039",Campins,"3.94","48968.13628","3.77","48066.58438","3.72","48967.5473","3.5","46871.77546","3.33","45107.77813","3.07","42730.20424","2.99","42051.50661","2.84","40287.3903","2.63","37105.31643","2.66","37619.38478","2.74","38781.22765","2.89","41224.67699","3.03","43671.21495"
