codimuni,nommuni,atur_2021,atur_2020,atur_2019,atur_2018,atur_2017,atur_2016,atur_2015,atur_2014,atur_2013,atur_2012,atur_2011,atur_2010,atur_2009,atur_2008,atur_2007,atur_2006,atur_2005
"80018",Abrera,"731","597","550","578","653","755","877","988","1054","974","890","936","834","486","397","416","408"
"80142",Aiguafreda,"132","96","119","126","113","126","157","167","223","184","182","199","177","87","73","70","73"
"80039",Alella,"304","260","259","267","299","362","406","462","457","482","449","475","362","211","208","219","233"
"80060",Arenys de Mar,"968","760","772","801","806","926","1089","1184","1255","1174","1133","1138","924","633","574","569","592"
"80076",Arenys de Munt,"494","428","400","450","508","557","656","688","687","686","656","650","530","336","319","317","302"
"80095",Argentona,"661","583","530","592","649","716","807","901","972","892","814","871","725","452","438","418","355"
"80137",Avinyonet del Penedès,"97","80","71","72","84","90","95","119","125","126","119","111","87","42","50","50","37"
"80155",Badalona,"17106","14321","13916","14881","15467","17746","20369","22431","23887","23367","22500","22222","18225","11058","9740","10247","10454"
"89045",Badia del Vallès,"1350","1217","1111","1173","1278","1449","1639","1749","1907","1783","1668","1648","1510","873","746","806","903"
"82520",Barberà del Vallès,"2046","1808","1669","1767","1965","2390","2712","3024","3288","3065","2859","2996","2615","1538","1279","1411","1409"
"80431",Canyelles,"352","270","267","289","269","317","365","435","473","429","406","422","347","179","150","132","115"
"80193",Barcelona,"96384","76196","70988","74239","79056","87760","99768","107734","115154","113528","109153","108292","88206","56867","52921","56567","61431"
"80207",Begues,"287","241","202","213","225","274","301","371","381","341","334","324","258","166","139","130","143"
"80291",Cabrera de Mar,"180","147","139","143","147","162","194","215","232","204","211","209","196","116","106","112","89"
"80305",Cabrils,"306","252","244","258","266","273","310","363","367","352","331","319","254","160","143","162","158"
"80333",Caldes de Montbui,"985","842","817","796","935","1017","1178","1349","1438","1347","1319","1366","1187","558","480","199","500"
"80327",Caldes d'Estrac,"167","155","152","140","144","164","180","189","193","178","153","177","138","100","81","503","85"
"80351",Calella,"1550","1324","1283","1250","1279","1400","1610","1752","1850","1866","1873","1768","1456","873","804","897","885"
"80399",Campins,"29","22","18","22","21","30","30","35","42","35","29","26","16","9","11","18","11"
"80403",Canet de Mar,"954","777","811","765","863","962","1140","1221","1295","1261","1152","1222","1001","621","565","642","606"
"80410",Canovelles,"1576","1292","1226","1323","1406","1621","1864","2036","2070","2016","1947","1908","1612","802","612","673","617"
"80425",Cànoves i Samalús,"185","142","147","144","155","193","215","252","260","210","229","199","169","96","76","74","61"
"80462",Cardedeu,"962","876","840","864","953","1029","1168","1286","1420","1342","1325","1296","1089","578","538","519","518"
"80517",Castellar del Vallès,"1228","1054","1003","1059","1239","1398","1612","1932","2111","1992","1855","1919","1651","953","842","918","960"
"80543",Castellbisbal,"642","577","543","541","613","748","880","957","1004","894","829","871","767","447","341","368","381"
"80556",Castellcir,"44","37","31","27","40","43","43","39","35","28","32","25","32","12","13","13","14"
"80569",Castelldefels,"3682","2961","2665","2874","3123","3582","4101","4493","4795","4651","4544","4421","3515","1912","1799","1817","2010"
"80581",Castellet i la Gornal,"163","135","126","120","129","156","161","173","211","177","178","170","139","83","65","53","51"
"80641",Castellterçol,"108","89","90","96","97","103","118","137","155","153","137","112","101","62","54","58","56"
"80654",Castellví de la Marca,"63","56","55","53","58","83","108","115","116","110","114","107","86","44","35","31","27"
"80667",Castellví de Rosanes,"99","73","64","71","73","83","104","109","114","121","112","108","83","43","39","53","26"
"82665",Cerdanyola del Vallès,"3314","2772","2530","2678","2972","3470","4010","4642","5067","4872","4784","4760","4050","2280","2179","2361","2432"
"80689",Cervelló,"498","443","401","395","417","490","581","654","725","668","647","669","540","335","284","310","352"
"80692",Collbató,"217","169","158","153","179","208","203","247","278","237","233","240","202","128","113","112","100"
"80728",Corbera de Llobregat,"723","615","572","597","634","702","808","927","989","964","940","942","821","421","365","13","392"
"80734",Cornellà de Llobregat,"6207","4989","4670","4878","5347","6263","7117","7775","8736","8367","8024","8000","6348","3770","3092","3356","3485"
"80749",Cubelles,"1126","897","876","888","965","1019","1177","1356","1379","1387","1268","1263","983","605","502","491","443"
"80752",Dosrius,"348","276","262","281","306","365","394","445","477","446","409","429","350","187","162","159","163"
"80765",Esparreguera,"1485","1358","1228","1291","1424","1697","1940","2099","2263","2056","2071","2054","1675","976","851","915","855"
"80771",Esplugues de Llobregat,"2670","2138","2042","2186","2390","2823","3091","3396","3693","3469","3330","3342","2845","1729","1488","1610","1671"
"81347",Figaró-Montmany,"68","57","49","59","69","75","106","111","112","99","76","95","83","38","33","35","24"
"80811",Fogars de Montclús,"12","18","13","19","16","21","21","24","23","27","18","11","12","12","7","8","7"
"80850",Font-rubí,"68","46","57","58","51","72","76","99","95","98","95","85","60","32","35","32","32"
"80879",Gallifa,"6","7","5","5","9","7","13","10","12","8","6","10","7","2","6","7","4"
"80898",Gavà,"2852","2290","2251","2441","2593","3083","3510","3860","4212","3890","3863","3827","3094","1757","1603","1715","1878"
"80919",Gelida,"484","427","403","398","436","486","537","569","601","538","491","517","440","247","234","220","228"
"80961",Granollers,"4557","3720","3515","3685","4163","4681","5341","5907","6155","5843","5675","5634","4854","2602","2109","2281","2431"
"80977",Gualba,"103","84","60","54","56","59","66","93","95","96","82","79","62","36","50","34","32"
"81075",Lliçà d'Amunt,"926","772","697","779","845","960","1114","1239","1295","1202","1157","1146","959","531","436","448","447"
"81081",Lliçà de Vall,"289","296","282","304","355","376","465","497","552","511","436","458","416","232","197","199","253"
"81069",Llinars del Vallès,"640","509","509","547","602","668","738","833","891","849","789","761","664","365","314","304","303"
"81108",Malgrat de Mar,"1432","1240","1137","1093","1238","1381","1593","1745","1861","1799","1802","1820","1591","973","836","928","872"
"81141",Martorell,"2068","1791","1669","1706","1913","2230","2529","2763","2942","2814","2786","2557","2142","1170","967","1038","1040"
"81154",Martorelles,"308","276","274","304","327","369","409","452","494","485","421","455","353","192","194","180","195"
"81206",Matadepera,"228","202","176","180","206","230","251","284","322","277","264","307","251","157","160","156","159"
"81213",Mataró,"10388","9007","8850","9457","10352","11601","13197","14262","15033","14346","13499","13315","11072","6786","5903","6294","5996"
"81228",Mediona,"165","129","134","123","138","160","185","175","175","159","179","163","124","80","64","68","62"
"81234",Molins de Rei,"1219","1074","941","990","1147","1301","1603","1710","1868","1818","1776","1687","1431","852","712","842","931"
"81249",Mollet del Vallès,"3830","3539","3318","3474","3970","4383","5084","5629","6210","5920","5410","5490","4707","2642","2340","2304","2403"
"81252",Montcada i Reixac,"2833","2307","2165","2217","2402","2766","3066","3328","3466","3268","3194","3132","2590","1499","1274","1332","1318"
"81265",Montgat,"651","575","537","537","554","656","762","839","898","837","775","772","614","395","366","375","394"
"81350",Montmeló,"538","472","430","453","517","618","696","773","865","802","742","811","696","383","348","380","402"
"81363",Montornès del Vallès,"1293","1114","1157","1152","1261","1415","1657","1812","1898","1767","1718","1680","1403","695","595","599","616"
"81379",Montseny,"21","13","12","10","11","9","12","18","16","15","12","16","13","12","10","10","2"
"81458",Olèrdola,"235","204","168","180","192","216","270","258","285","258","254","265","212","122","102","99","91"
"81461",Olesa de Bonesvalls,"92","56","69","64","74","107","133","128","141","117","124","118","99","49","42","44","39"
