codimuni,nommuni,hab_2020,hab_2019,hab_2018,hab_2017,hab_2016,hab_2015,hab_2014,hab_2013,hab_2012
"80018",Abrera,"222","225","200","184","146","99","71","37","8"
"80039",Alella,"126","108","84","65","32","25","14","9","8"
"80057",l'Ametlla del Vallès,"56","10","8","7","4","3","2",,
"80060",Arenys de Mar,"164","156","165","232","238","222","219","214","195"
"80076",Arenys de Munt,"19","16","14","13","9","8","6","7","7"
"80095",Argentona,"38","31","36","24","18","13","12","12","13"
"80137",Avinyonet del Penedès,"6","6","5","3","2","2","2","1",
"80142",Aiguafreda,"3","3","3","3","3","4","4","1",
"80155",Badalona,"5447","5102","4578","4190","3482","2749","2125","1771","913"
"80193",Barcelona,"39260","42941","39703","36163","29998","27499","29425","28477","27816"
"80207",Begues,"107","82","40","30","30","19","18","55","61"
"80235",Bigues i Riells,"44","23","29","33","26","21","14","13","13"
"80667",Castellví de Rosanes,"1","1",,,,,,,
"80272",les Cabanyes,"3","3","2","2","2","1","1",,
"80291",Cabrera de Mar,"55","52","61","58","52","47","45","47","53"
"80305",Cabrils,"7","6","6","5","2","3","2","1",
"80399",Campins,,,,,,,,,
"80403",Canet de Mar,"78","72","68","80","70","60","57","42","12"
"81688",Pontons,,,,,,,,,
"80327",Caldes d'Estrac,"7","6","6","5","4","1","1","1","1"
"80333",Caldes de Montbui,"131","116","88","74","66","45","26","34","32"
"80351",Calella,"89","76","58","53","57","54","46","121","116"
"80689",Cervelló,"35","31","33","43","47","43","42","43","42"
"80692",Collbató,"3","3","3","3","3","2","4","3","1"
"80728",Corbera de Llobregat,"59","54","45","38","34","23","9","1","1"
"83015",Viladecans,"1802","1300","1189","952","702","382","285","274","220"
"80410",Canovelles,"265","236","225","178","123","61","32","5","3"
"80734",Cornellà de Llobregat,"4346","3771","3014","2588","2609","2185","1714","1696","1442"
"80749",Cubelles,"107","100","88","76","55","38",,"17","12"
"80752",Dosrius,"3","3","4","4","5","4","4","3","3"
"80765",Esparreguera,"49","37","24","15","15","10","9","8","9"
"82037",Sant Cebrià de Vallalta,"1","1",,"1","1","1","1","3","3"
"80425",Cànoves i Samalús,"1",,,"1",,,,,
"81192",Masquefa,"12","10","9","7","7","5","6","3","1"
"81206",Matadepera,"54","35","41","59","62","53","46","33","27"
"81213",Mataró,"1871","1883","1779","2090","1702","1231","962","861","749"
"81228",Mediona,"8","5","4","4","3",,,,
"81234",Molins de Rei,"762","636","611","537","354","269","148","118","99"
"80431",Canyelles,"5","5","3","3","3","2",,,
"81249",Mollet del Vallès,"777","690","638","624","457","472","364","357","316"
"81252",Montcada i Reixac,"609","544","490","437","368","304","192","134","80"
"81265",Montgat,"545","417","371","367","307","257","243","216","206"
"81347",Figaró-Montmany,"1","1","1","3","2","1","1","1","1"
"81350",Montmeló,"170","142","116","179","155","140","131","126","120"
"81363",Montornès del Vallès,"106","93","76","88","75","52","49","46","46"
"81379",Montseny,,,,,,,,,
"81458",Olèrdola,"9","9","6","4","2",,,,
"81461",Olesa de Bonesvalls,"1","1","1","1",,,,,
"81477",Olesa de Montserrat,"265","133","98","89","78","59","45","5","5"
"81483",Olivella,"10","6","6","4","2","1",,,
"83073",Vilanova i la Geltrú,"1124","1298","1233","1153","885","673","10","724","634"
"80462",Cardedeu,"81","73","51","39","24","9","8","2","2"
"80517",Castellar del Vallès,"332","304","315","337","300","250","222","209","175"
"80543",Castellbisbal,"281","224","205","153","115","64","33","17","14"
"80556",Castellcir,"3","2","2","1","1","1","1",,
"80569",Castelldefels,"980","835","736","673","545","475","819","1259","1363"
"80581",Castellet i la Gornal,"3","4","5","5","5","3","2",,
"80641",Castellterçol,"10","11","10","4","4","2","2",,
"80654",Castellví de la Marca,"2","2","2","1","1","1",,,
"80771",Esplugues de Llobregat,"1140","992","880","705","601","758","633","612","552"
"80811",Fogars de Montclús,,,,,,,,,
"80850",Font-rubí,"7","6","5","4","3","1",,,
"80885",la Garriga,"69","46","19","13","11","7","6","2","1"
"80898",Gavà,"1865","1604","1534","1624","1396","1195","1139","1135","1092"
"80863",les Franqueses del Vallès,"398","365","368","283","226","175","162","144","114"
"80879",Gallifa,,,,,,,,,
"80919",Gelida,"71","72","70","65","62","45","39","28","15"
"80945",la Granada,"32","26","25","22","17","9","3","3","1"
"80958",Granera,,,,,,,,,
"80961",Granollers,"1492","1294","1135","983","695","416","220","132","102"
"80977",Gualba,,,,,,,,,
"89045",Badia del Vallès,"152","144","137","141","101","67","57","44","35"
"89058",la Palma de Cervelló,"3","1","1","1","1","1","2","3","2"
"82704",Sitges,"794","819","687","600","569","521","16","311","239"
"81017",l'Hospitalet de Llobregat,"5162","5245","5266","4955","4034","3390","3386","2981","2410"
"81154",Martorelles,"9","7","5","7","6","6","3","2","3"
"81189",el Masnou,"723","694","608","504","397","318","287","255","112"
"171030",Maçanet de la Selva,"21","17","16","12","6","4","3","2","2"
"81043",la Llacuna,,,,,,,,,
"81056",la Llagosta,"74","70","65","62","62","59","28","25","21"
"81069",Llinars del Vallès,"16","11","7","9","8","6","8","10","11"
"81075",Lliçà d'Amunt,"43","37","30","29","30","26","24","10","11"
"81081",Lliçà de Vall,"8","8","7","7","6","4","2","2","2"
"81108",Malgrat de Mar,"186","165","151","135","102","74","51","34","31"
"81141",Martorell,"1735","1709","535","440","369","303","253","239","225"
"81537",Òrrius,,,,,,,,,
"81542",Pacs del Penedès,"1","1","1",,,,,,
"81555",Palafolls,"70","65","75","99","95","89","82","74","56"
"81672",Polinyà,"189","196","192","206","139","102","98","99","93"
"81568",Palau-solità i Plegamans,"37","28","20","17","14","9","8","6","4"
"81574",Pallejà,"32","22","20","19","16","12","5","5","5"
"81691",el Prat de Llobregat,"2290","1979","2007","1928","1562","1232","843","705","601"
"81727",Premià de Mar,"130","120","104","99","74","56","47","48","38"
"81580",el Papiol,"4","3","5","4","2","2",,"1","2"
"82042",Sant Climent de Llobregat,"6","3","4","4","3","2","2","2","1"
"82055",Sant Cugat del Vallès,"3232","3173","3306","2415","2177","3039","2519","2298","2128"
"82068",Sant Cugat Sesgarrigues,"4","2","2","2",,,,,
"82074",Sant Esteve de Palautordera,"1",,"1","1","1","1","1","1","1"
"82080",Sant Esteve Sesrovires,"26","23","25","82","68","54","51","52","51"
"82093",Sant Fost de Campsentelles,"62","66","60","69","43","35","24","9","4"
"82107",Sant Feliu de Codines,"10","6","4","3","3","2","2","1",
"82114",Sant Feliu de Llobregat,"1398","1224","979","806","600","428","272","193","123"
"82140",Vilassar de Dalt,"17","17","16","14","9","5","3","2","1"
"81593",Parets del Vallès,"207","191","174","189","161","133","121","104","57"
"81629",els Hostalets de Pierola,"2","1","1",,,,,,
"81635",Pineda de Mar,"116","108","94","91","68","50","55","66","64"
"82665",Cerdanyola del Vallès,"921","784","664","514","300","233","183","165","144"
"82671",Sentmenat,"87","71","63","101","83","70","61","38","22"
"82732",Subirats,"6","6","6","4","2","1",,,
"82763",Tagamanent,,,,,,,,,
"82798",Terrassa,"5136","5426","5105","4967","3665","3403","3445","3167","2996"
"82819",Teià,"93","82","57","48","35","19","14","14","10"
"82824",Tiana,"309","279","322","240","203","186","173","169","67"
"82845",Tordera,"283","260","216","189","152","124","100","81","57"
"82877",Torrelavit,"7","7","7","5","5","3","1",,
"82883",Torrelles de Foix,"19","17","16","13","10","7","4","2","2"
"82896",Torrelles de Llobregat,"35","37","28","19","8","4","4","2","2"
"82900",Ullastrell,"2","2","2","1",,,,,
"82917",Vacarisses,"8","8","7","6","4","2","2","2",
"82943",Vallgorguina,,,,,,,,,
"82956",Vallirana,"34","28","26","22","20","18","17","8","5"
"82969",Vallromanes,"2","2",,,,,,,
"83008",Viladecavalls,"12","10","7","9","10","10","10","9","9"
"81640",el Pla del Penedès,"18","17","16","16","11","3","1","1",
