codimuni,nommuni,2019,2018,2017,2016,2015
"80018",Abrera,"15.6","23.8","24.2","24.5","25.2"
"80039",Alella,"10.9","13.9","14.2","14.6","15.1"
"80057","Ametlla del Vallès, l'","8.1","11.4","11.8","12.1","12.8"
"80060",Arenys de Mar,"15.3","21.7","22.3","22.9","24.1"
"80076",Arenys de Munt,"15.7","22.6","23.1","23.3","24.2"
"80095",Argentona,"13.1","18.3","18.9","19.3","20.4"
"80155",Badalona,"20.3","28.9","29.6","30","30.8"
"89045",Badia del Vallès,"21.3","32.3","32.6","33","34.1"
"82520",Barberà del Vallès,"13.6","20.8","21","21.2","21.7"
"80193",Barcelona,"14","19.5","20.2","20.9","22"
"80207",Begues,"8","11.5","12","12.4","12.9"
"80235",Bigues i Riells del Fai,"12.4","19.1","19.5","19.7","20.9"
"80305",Cabrils,"7.6","11","11","11.1","11.4"
"80333",Caldes de Montbui,"13.4","19.3","20","20.3","21.4"
"80351",Calella,"17.9","25.9","26.6","26.9","28"
"80403",Canet de Mar,"18","25","25.8","26.7","27.6"
"80410",Canovelles,"25.1","35.4","35.7","35.5","35.8"
"80462",Cardedeu,"12.5","17.5","17.8","18.5","19.6"
"80517",Castellar del Vallès,"12.8","18.7","19.3","19.8","20.6"
"80543",Castellbisbal,"14.2","21.1","22","22.3","23.3"
"80569",Castelldefels,"11.4","17.2","17.6","17.9","18.7"
"82665",Cerdanyola del Vallès,"13.6","18.6","19","19.4","20.3"
"80689",Cervelló,"11.8","17.6","17.9","18","18.6"
"80728",Corbera de Llobregat,"12.2","19.6","20.3","20.4","21.1"
"80734",Cornellà de Llobregat,"19.9","28.2","29.1","29.6","30.6"
"80749",Cubelles,"13.6","21.6","21.9","22.6","22.9"
"80752",Dosrius,"10","15.5","15.9","16.3","17"
"80765",Esparreguera,"16.3","23.8","24.2","24.4","25.2"
"80771",Esplugues de Llobregat,"18","24.1","24.9","25.4","26.3"
"80863","Franqueses del Vallès, les","16.7","24.3","24.5","25.1","26"
"80885","Garriga, la","12.4","17.3","17.8","18.2","19.1"
"80898",Gavà,"15","21.4","22.1","22.4","23.4"
"80919",Gelida,"14.3","20.5","20.8","20.9","22.2"
"80961",Granollers,"16","22.9","23.3","23.7","24.9"
"81017","Hospitalet de Llobregat, l'","22.5","32.1","32.9","33.5","34.3"
"81056","Llagosta, la","22.8","32.9","33.8","34.1","34.6"
"81075",Lliçà d'Amunt,"14.7","21.5","22.1","22.4","23.4"
"81081",Lliçà de Vall,"14.8","20.9","21.6","22.4","23.4"
"81069",Llinars del Vallès,"14.4","21.3","21.5","21.8","22.6"
"81108",Malgrat de Mar,"17.8","25.8","26.4","26.7","27.8"
"81141",Martorell,"22.5","30.2","31.3","31.7","32.7"
"81189","Masnou, el","11.8","16.3","16.7","17","17.8"
"81206",Matadepera,"5","7","7.4","7.7","8.5"
