categoria %,2000,2005,2010,2015,2020
Abrera,2.8,6.88,8.88,6.27,6.71
Aiguafreda,0.51,4.25,6.75,4.5,5.1
Alella,3.47,7.74,9.61,8.53,11.04
Arenys de Mar,3.78,9.44,11.58,10.09,11.19
Arenys de Munt,2.37,5.88,6.38,5.6,6.96
Argentona,1.29,3.57,4.3,4.26,5.3
Avinyonet del Penedès,3,9.94,10.5,8.11,10.02
Badalona,1.46,10.81,14.71,12.23,15.09
Badia del Vallès,0.2,2.49,6.01,5.37,5.89
Barberà  del Vallès,0.77,3.83,7.61,6.53,7.61
Barcelona,3.08,13.81,17.46,16.36,21.58
Begues,2.2,4.7,7.86,4.99,7.4
Bigues i Riells,1.78,2.87,4.25,4.02,4.48
CÃ noves i SamalÃºs,1.5,3.28,5.02,3.69,4.25
Cabrera de Mar,3.15,6.07,6.59,5.4,7.2
Cabrils,5.45,9.96,9.57,8.98,12.27
Caldes de Montbui,1.13,7.75,10.44,7.3,7.96
Caldes d'Estrac,5.78,13.64,17,13.03,16.42
Calella,8.56,21.12,23.65,17.74,18.87
Campins,2.74,4.52,5.33,5.91,9.24
Canet de Mar,3.99,8.5,9.93,7.56,8.95
Canovelles,3.29,15.93,24.15,17.96,19.06
Canyelles,2.99,6.91,7.77,7.13,9.17
Cardedeu,2.6,6.89,8.33,6.62,6.32
Castellar del Vallès,0.92,4.25,5.62,3.63,4.67
Castellbisbal,1.83,5.19,7.31,5.3,6.15
Castellcir,2.46,7.95,8.73,6.48,8.89
Castelldefels,6.7,18.68,22.37,18.24,21.3
Castellet i la Gornal,1.71,3.78,7.01,5.02,8.1
CastellterÃ§ol,0.25,8.02,8.71,4.98,8.24
Castellví­ de la Marca,1.31,7.23,9.79,7.14,8.25
Castellví de Rosanes,2.1,4.16,6.1,4.01,4.81
Cerdanyola del Vallès,1.41,7.59,10.31,8.24,9.8
CervellÃ³,2.42,6.27,6.79,5.2,6.25
Collbató,2.91,5.66,5.49,3.74,4.14
Corbera de Llobregat,3.23,9.95,10.14,7.67,9.29
Cornellà  de Llobregat,1.99,11.86,17.76,13.77,15.96
Cubelles,3.32,8.45,11.08,8.39,11.27
Dosrius,1.41,3.69,4.45,3.45,7.22
el Masnou,3.28,7.11,9.15,8.14,10.88
el Papiol,1.39,6.21,8.41,5.5,7
el Pla del Penedès,1.08,4.64,10.15,10.16,9.33
el Prat de Llobregat,1.88,6.76,9.8,7.23,9.36
Esparreguera,2.13,6.42,9.85,7.34,8.42
Esplugues de Llobregat,2.25,9.73,14.32,10.48,12.65
FigarÃ³-Montmany,5.58,12.35,14.13,8.87,10.33
Fogars de MontclÃºs,3.14,2.64,5.05,3.98,4
Font-rubí,3.83,11.51,12.07,10.83,14.85
Gallifa,3.85,8.1,9.77,6.09,5.39
Gavà,1.78,7.94,12.49,9.62,11.12
Gelida,2.64,6.69,9.59,7.9,10.38
Granollers,3.11,13.39,18.36,13.98,14.39
Gualba,1.66,7.59,6.64,4.1,6.2
la Garriga,3.2,7.42,7.99,6.23,7.61
la Granada,0.6,4.39,7.08,7.72,8.02
la Llagosta,2.55,10.45,14.27,11.11,12.07
la Palma de Cervelló,2.88,5.92,7.91,4.99,6.32
la Roca del Vallès,0.77,3.35,5.41,3.92,4.64
l'Ametlla del Vallès,4.46,8.13,7.17,4.79,5.93
les Cabanyes,1.29,2.93,2.99,3.52,2.76
les Franqueses del Vallès,2.86,8.47,12.45,10.24,10.8
l'Hospitalet de Llobregat,2.44,16.29,23.26,18.16,22.77
Lliçà  d'Amunt,0.75,2.13,3.73,2.5,3.16
Lliçà  de Vall,1.32,2.25,3.22,2.44,2.88
Llinars del Vallès,2.02,7.31,9.53,7.22,8.28
Malgrat de Mar,4.61,9.71,13.17,11.11,11.99
Martorell,4.33,14.07,19.47,16.67,17.96
Martorelles,0.65,3.92,5.16,4.54,5.89
Matadepera,0.77,2.41,3.07,2.36,3.16
Mataró,3.74,12.4,17.06,15.22,17.18
Mediona,0.97,7.05,10.33,7.48,8.65
Molins de Rei,0.67,4.4,6,5.25,6.04
Mollet del Vallès,1.77,10.86,14.99,11.15,11.6
Montcada i Reixac,0.98,7.97,11.78,9.6,13.59
Montgat,1.64,3.86,5.7,5.76,9.16
Montmeló,2.15,7.61,8.99,7.54,7.35
MontornÃ¨s del Vallès,3.08,10.97,15.04,10.9,10.88
Montseny,,2.61,6.41,2.82,3.7
OlÃ¨rdola,0.99,4.68,6.45,5.54,8.49
Olesa de Bonesvalls,1.7,4.99,5.99,4.55,5.82
Olesa de Montserrat,3.66,6.78,10.64,8.5,9.24
Olivella,5.46,15.37,19.21,18.69,22.01
Òrrius,2.38,2.22,3.67,2.76,3.69
Pacs del PenedÃ¨s,3.37,2.82,3.75,3.7,5.99
Palafolls,2.22,4.76,5.54,4.76,6.02
Palau-solitÃ  i Plegamans,1.24,5.64,6.91,4.77,6.28
PallejÃ ,1.13,5.87,7.08,5.3,6.27
Parets del VallÃ¨s,1.51,6.6,8.15,6.72,6.79
Pineda de Mar,5.16,14.39,17.43,14.11,15.29
PolinyÃ ,0.69,4.42,7.4,5.8,6.43
Pontons,3.58,13.07,11.87,8.9,17.23
Premià  de Dalt,2.92,6.66,9.07,8.63,9.64
Premià  de Mar,5.41,11.31,13.23,11.43,12.93
PuigdÃ lber,,2.32,3.26,4.08,4.2
Rellinars,,3.14,2.06,2.54,2.84
Ripollet,1.44,7.38,12.05,10.17,12.33
Rubí,2.35,10.59,13.89,10.64,12.67
Sabadell,1.04,7.85,12.94,10.3,13.1
Sant AdriÃ  de BesÃ²s,0.98,6.06,9.67,11.27,15.15
Sant Andreu de la Barca,2.77,8.09,11.66,9.09,9.83
Sant Andreu de Llavaneres,3.62,9.02,10.65,9.33,11
Sant Antoni de Vilamajor,2.16,6.07,7.61,5.39,5.35
Sant Boi de Llobregat,1.72,6.81,10.34,8.83,10.2
Sant CebriÃ  de Vallalta,5.41,8.82,7.97,7.76,8.55
Sant Celoni,1.77,8.3,12.69,10.05,11.15
Sant Climent de Llobregat,0.61,2.7,2.99,1.89,3.32
Sant Cugat del Vallès,4.41,11.61,14.27,11.36,13.12
Sant Cugat Sesgarrigues,3.97,9.76,9.35,6.95,8.13
Sant Esteve de Palautordera,3.42,10.2,9.68,6.07,7.79
Sant Esteve Sesrovires,4.26,6.88,6.99,4.7,5.93
Sant Feliu de Codines,1.86,13.1,14.62,9.66,9.59
Sant Feliu de Llobregat,1,6.8,9.07,6.57,7.84
Sant Fost de Campsentelles,0.93,2.77,3.74,3.3,4.2
Sant Iscle de Vallalta,5.01,7.21,7.03,6.57,6.41
Sant Joan Despí,1.21,5.98,8.51,6.42,8.36
Sant Just Desvern,5.07,9.57,12.25,8.45,11.45
Sant Llorenç d'Hortons,3.36,6.68,8.07,5.55,6.38
Sant Llorenç Savall,0.81,4.31,7.29,5.84,5.13
Sant MartÃ­ Sarroca,2.22,8.31,8.98,7.37,8.89
Sant Pere de Ribes,4.28,11.64,14.97,13.97,15.17
Sant Pere de Riudebitlles,0.82,4,6.13,6.15,6.22
Sant Pere de Vilamajor,0.94,3.11,3.67,3.41,5.19
Sant Pol de Mar,5.15,10.9,11.76,8.74,11.97
Sant QuintÃ­ de Mediona,1.97,13.61,15.81,12.33,16.57
Sant Quirze del Vallès,1.16,3.55,4.96,4.43,5.26
Sant Quirze Safaja,2.44,7.55,7.66,4.82,3.8
Sant SadurnÃ­ d'Anoia,2.15,6.9,9.31,7.82,8.82
Sant Vicenç de Montalt,4.38,6.96,8.85,8.48,10.69
Sant Vicenç dels Horts,2.23,5.42,8.74,6.46,7.83
Santa Coloma de CervellÃ³,1.17,3.06,3.95,3.07,3.91
Santa Coloma de Gramenet,2.27,14.2,22.02,19.17,22.31
Santa EulÃ lia de RonÃ§ana,1.08,3.92,4.73,3.29,3.68
Santa Fe del Penedès,2.39,4.73,7.55,7.41,8.17
Santa Margarida i els Monjos,3.5,13.79,15.68,13.2,14.15
Santa Maria de Martorelles,0.71,4.19,3.22,2.23,2.36
Santa Maria de Palautordera,2.19,9.16,13.09,9.02,9.34
Santa PerpÃ¨tua de Mogoda,1.5,6.2,11.33,8.7,10.27
Santa Susanna,6.87,11.51,14.39,11.54,14.83
Sentmenat,0.41,4.88,7.06,5.7,6.25
Sitges,8.31,19.86,25.72,20.95,22.84
Subirats,2.89,5.74,6.6,4.99,6.02
