municipi,nommuni,gini2019,gini2018,gini2017,gini2016,gini2015
"80018",Abrera,"24.7","25.17","25.87","26.36","27.01"
"80142",Aiguafreda,"26.1",,,,
"80039",Alella,"35.8","36.9","36.83","37.25","37.23"
"80060",Arenys de Mar,"31.7","31.51","32.17","33.42","33.19"
"80076",Arenys de Munt,"29.4","30.5","30.95","32.33","32.68"
"80095",Argentona,"29.9","29.8","31.36","32.49","33.19"
"80137",Avinyonet del Penedès,"29.9","30.7","30.7","32.1","31.3"
"80155",Badalona,"30.5","27.87","28.45","29.57","30"
"89045",Badia del Vallès,"25.1","25.35","26.34","27.75","28.18"
"82520",Barberà del Vallès,"25.7","25.69","25.92","26.86","27.07"
"80193",Barcelona,"35.8","32.82","32.99","33.62","33.35"
"80207",Begues,"31.9","31.93","32.07","32.13","32.57"
"80235",Bigues i Riells,"28.2","29.14","30.54","30.9","31.84"
"80425",Cànoves i Samalús,"27.1","29.7","29.4","29","29.5"
"80291",Cabrera de Mar,"33.5","32.7","32.55","34.15","33.55"
"80305",Cabrils,"36.7","36.6","37.4","37.9","38.1"
"80333",Caldes de Montbui,"28.7","28.9","29.44","30.1","30.69"
"80327",Caldes d'Estrac,"36.3","36.2","38.5","38.6","38.9"
"80351",Calella,"32.1","32.84","33.23","34.13","34.8"
"80399",Campins,"31.9","33.9","32.8","32.1","30.9"
"80403",Canet de Mar,"29.8","29.83","30.58","31.29","32.43"
"80410",Canovelles,"31.6","29.43","31.09","34.01","34.09"
"80431",Canyelles,"29.1","29.8","30.4","30.7","31.6"
"80462",Cardedeu,"29.1","29.14","30.09","31.03","31.64"
"80517",Castellar del Vallès,"26.7","26.89","27.82","28.91","29.14"
"80543",Castellbisbal,"25.9","25.68","26.4","26.87","27.03"
"80556",Castellcir,"26.8","29.9","31.6","32.5","35.1"
"80569",Castelldefels,"35.7","33.6","33.84","34.74","34.7"
"80581",Castellet i la Gornal,"26.5","25.7","27.8","27.9","29.1"
"80641",Castellterçol,"29.6","30.5","30.2","30","31.2"
"80654",Castellví de la Marca,"25.4","25.9","25.4","26.6","26.9"
"80667",Castellví de Rosanes,"27.9","26.7","28","28.4","27"
"82665",Cerdanyola del Vallès,"29.9","28.02","28.47","29.5","29.47"
"80689",Cervelló,"28.6","28.66","30.12","30.98","30.92"
"80692",Collbató,"28.6","28.05","28.8","30.5","31.2"
"80728",Corbera de Llobregat,"31","30.36","31.13","32.1","31.66"
"80734",Cornellà de Llobregat,"28.7","27.24","27.91","29","29.19"
