codi,municipi,2019,2018,2017,2016,2015
"80018",Abrera,"105.8","104.1","104","103.8","104.6"
"80039",Alella,"120.7","121","121.5","120.4","121.4"
"80057","Ametlla del Vallès, l'","120.7","118.3","119.3","118.9","119.4"
"80060",Arenys de Mar,"104.7","104.4","103.8","103","102.4"
"80076",Arenys de Munt,"105.2","103.7","104.6","104.2","104.6"
"80095",Argentona,"110.6","110.6","110.1","109.1","110"
"80155",Badalona,"94.1","94.3","94","93.5","93.7"
"89045",Badia del Vallès,"85.8","84.1","84.1","83.3","82.9"
"82520",Barberà del Vallès,"105","103.6","103.9","103.6","103.9"
"80193",Barcelona,"108.1","108.9","108.8","108.4","108.6"
"80207",Begues,"120.8","119.8","120.3","119.4","120.1"
"80235",Bigues i Riells del Fai,"107.1","106.3","105.6","105.3","105.1"
"80305",Cabrils,"119.5","119.2","120","120.1","121.2"
"80333",Caldes de Montbui,"106.7","106.1","105.9","105.1","104.6"
"80351",Calella,"93.3","92.4","92.7","92.7","92.5"
"80403",Canet de Mar,"102.3","101.7","101.6","100.4","100.7"
"80410",Canovelles,"77","77.6","78","78","78.5"
"80462",Cardedeu,"111.1","111.2","111.3","110.3","109.9"
"80517",Castellar del Vallès,"110.6","109.2","109","108","108.3"
"80543",Castellbisbal,"108.7","107.8","107.4","106.8","106.5"
"80569",Castelldefels,"110.3","110.2","109.5","108.7","109.1"
"82665",Cerdanyola del Vallès,"109.2","109.5","109","108.3","108.3"
"80689",Cervelló,"113.7","112.7","113.6","112.9","113.3"
"80728",Corbera de Llobregat,"110.6","108.6","108.2","108.6","108.7"
"80734",Cornellà de Llobregat,"95.8","95.9","95.2","94.7","94.4"
"80749",Cubelles,"103.4","102","102","100.6","102"
"80752",Dosrius,"110.8","110.3","110.2","108.9","109.1"
"80765",Esparreguera,"100.8","100.6","100.9","100.4","100.5"
"80771",Esplugues de Llobregat,"106.4","106.3","106.8","105.8","106.1"
"80863","Franqueses del Vallès, les","98.8","99.3","99.6","98.9","98.4"
"80885","Garriga, la","110.3","110.5","110.6","110","109.5"
"80898",Gavà,"104.9","105.1","104.8","104.4","104.6"
"80919",Gelida,"106.5","106.3","107","107","107.3"
"80961",Granollers,"98.3","98.3","98.3","97.7","97.3"
"81017","Hospitalet de Llobregat, l'","87.1","87.5","87.8","87.8","88.5"
"81056","Llagosta, la","88.2","88","88","88.1","88.6"
"81075",Lliçà d'Amunt,"106.8","105.6","105.8","104.3","104.1"
"81081",Lliçà de Vall,"111.7","111.8","111.1","110.3","109.2"
"81069",Llinars del Vallès,"104.7","103.2","104","103","102.8"
"81108",Malgrat de Mar,"94.6","92.5","92.6","92.8","92.6"
"81141",Martorell,"88.9","90.1","88.9","88.7","88.4"
"81189","Masnou, el","113.5","113.5","113.6","113.5","113.7"
