nommuni,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Abrera,,,,,,3,1,3,4,4,2
Aiguafreda,1,,1,,,,,,,,
Alella,2,2,3,1,2,2,2,7,4,,1
Arenys de Mar,,,,1,,,,3,,2,1
Arenys de Munt,2,,2,,1,2,,1,1,,
Argentona,2,3,1,3,,1,5,,,2,
Avinyonet del Penedès,,,,,,,,,1,2,1
Badalona,9,12,12,14,11,15,15,6,16,15,7
Barberà del Vallès,7,9,4,3,5,6,3,6,7,6,6
Barcelona,246,220,197,236,257,310,331,332,310,338,341
Begues,1,,1,1,,,1,,,2,
Bigues i Riells,,,,,,,1,,,,2
Cabrera de Mar,,1,1,,1,,,,1,,4
Cabrils,1,1,2,4,8,,,,2,,
Caldes d'Estrac,,,,2,,,,,,,
Caldes de Montbui,3,6,5,1,6,2,5,4,3,7,2
Calella,2,,,,,1,,1,,1,
Canet de Mar,,,,2,,2,5,6,3,3,1
Canovelles,,,1,4,3,1,,,3,1,
Cànoves i Samalús,1,,2,,,,1,,1,,2
Canyelles,,,2,,,1,,,,,2
Cardedeu,5,3,6,4,3,3,1,1,3,1,
Castellar del Vallès,3,2,6,2,1,7,,4,6,2,4
Castellbisbal,3,1,4,1,2,1,2,6,3,1,2
Castelldefels,5,15,11,12,10,15,16,10,23,18,14
Castellterçol,,,,,,,,,,,2
Castellví de Rosanes,,1,,1,2,,,1,,3,
Cerdanyola del Vallès,11,21,18,23,23,33,24,40,17,19,28
Cervelló,,1,,1,,4,,1,1,1,1
Corbera de Llobregat,2,,2,,2,,1,,,,
Cornellà de Llobregat,10,14,2,3,4,11,9,11,3,12,14
Cubelles,,1,2,,,,,,1,,1
Dosrius,,1,,,,,1,,1,,2
el Masnou,,2,1,3,1,,2,,1,5,5
el Pla del Penedès,1,,,,,,,1,,,
el Prat de Llobregat,5,3,7,2,4,2,2,6,4,1,
Esparreguera,3,1,2,1,2,2,1,2,,4,
Esplugues de Llobregat,10,8,6,8,8,12,6,10,6,10,5
Gavà,3,2,4,3,2,,7,4,6,8,5
Gelida,1,2,1,3,,2,1,3,,,1
Granollers,9,4,8,10,9,8,10,6,5,5,9
Gualba,,,,,1,,,,,,
l'Ametlla del Vallès,2,1,3,3,3,,1,,,1,1
l'Hospitalet de Llobregat,18,12,13,12,11,15,27,21,15,25,21
la Garriga,2,1,4,,3,2,,1,3,,3
la Llagosta,,,3,,1,,,2,1,,1
la Palma de Cervelló,,1,,2,,,1,,,,
la Roca del Vallès,,,1,1,,3,,1,,1,3
les Cabanyes,,,1,,1,,,2,1,,1
les Franqueses del Vallès,1,4,3,2,3,1,1,5,1,6,2
