codimuni,municipi,pib_2019,pib_2018,pib_2017,pib_2016,pib_2015,pib_2014,pib_2013,pib_2012,pib_2011
"80018",Abrera,"52.3","50.4","48.6","46.3","44.9","44.5","37.5","38.5","44.4"
"80039",Alella,"19.7","19.4","18.6","17.1","16.6","16.5","15.4","16.5","17.3"
"80057",l'Ametlla del Vallès,"29.4","27.5","26.8","26.6","24.4","23.6","24.1","23.6","24.3"
"80060",Arenys de Mar,"20.7","20.7","20.5","21.5","21.4","20","17.7","17.3","18"
"80076",Arenys de Munt,"18.6","17.8","16.8","15.8","15.2","14.2","14.8","16.5","17.6"
"80095",Argentona,"28.8","28","28","25.9","26","24","23","21.7","22.1"
"80155",Badalona,"20","19.8","19.4","18.7","18.2","17.2","16.6","16.9","18"
"89045",Badia del Vallès,"7.5","7.7","7.5","6.7","6.5","5.6","5.6","5.7","5.7"
"82520",Barberà del Vallès,"53.1","52.9","48.4","51.8","49.2","45.4","43.2","41.2","39.4"
"80193",Barcelona,"48","46.9","45.2","43.6","41.8","40.6","39.9","39.8","40.3"
"80207",Begues,"14.1","13.9","15.6","15","13.6","13","13.1","12.3","13.3"
"80235",Bigues i Riells,"18.9","18.3","17.3","17.6","17.2","18.9","16","15.5","16.3"
"80305",Cabrils,"18.8","18.9","17.2","15.4","15.5","15.2","15.1","14.8","15.7"
"80333",Caldes de Montbui,"22.3","22.4","22","21.9","21","19.7","18.8","18.4","21.1"
"80351",Calella,"20.4","19","18.4","17.9","18.5","18.3","17.4","15.4","15.7"
"80403",Canet de Mar,"16.4","16.1","14.8","14.5","15.2","14.8","14.8","14.9","14.3"
"80410",Canovelles,"19.4","19.2","18.8","17.8","17.1","16.4","16.5","16.3","17.2"
"80462",Cardedeu,"20.6","20.3","19.6","18.7","18.4","16.5","16","15.7","17.2"
"80517",Castellar del Vallès,"24.5","23.3","22.7","22.1","21.1","21","20.6","20.8","22.1"
"80543",Castellbisbal,"100.3","94.6","88.9","84.6","81.5","70.1","69.6","72.1","77.7"
"80569",Castelldefels,"21.9","21.3","19.9","19.3","18.8","17.7","17.9","17.4","17.5"
"82665",Cerdanyola del Vallès,"36.7","35.4","33.4","30.2","27.2","27.1","25.8","25.5","26.1"
"80689",Cervelló,"24.7","25.3","25.3","22.6","22.9","20.1","18.9","18.6","18.3"
"80728",Corbera de Llobregat,"13.3","13.9","14.4","14","13.9","12.6","12","11.8","12.2"
"80734",Cornellà de Llobregat,"33.6","33.1","32.7","32.6","29","29.1","29.4","29.6","28.9"
"80749",Cubelles,"14.2","14.6","14.2","13.7","13.5","13","12.7","12.5","13.2"
"80752",Dosrius,"19.6","19.9","20.4","19.8","19.6","18.8","19.4","18.6","18.7"
"80765",Esparreguera,"21.7","20.9","20.6","19.8","19.8","18.7","17.9","17.7","18.6"
"80771",Esplugues de Llobregat,"35.4","34.5","32.5","29.7","26.9","25.1","25.6","27.7","32.2"
"80863",les Franqueses del Vallès,"39.4","39.8","38.8","36.1","33.6","32.4","30.5","30.1","32.2"
"80885",la Garriga,"23.9","23.8","22.9","21.3","21.5","20.8","20.6","21.2","22.9"
"80898",Gavà,"30.9","29.2","29.2","28.8","24.5","23.9","22.9","22.7","23.1"
"80919",Gelida,"17.3","17","16.4","15.8","16.8","15.6","15.8","15.8","18.7"
"80961",Granollers,"39.5","38.4","36.6","36.2","34.2","34.1","33.6","33.3","34.6"
"81017",l'Hospitalet de Llobregat,"25.6","25.1","24.9","24.7","24.3","21.8","20.8","21.8","22.2"
"81056",la Llagosta,"19.9","19.6","19.3","19","19.4","17.5","17.3","17.5","18.8"
"81075",Lliçà d'Amunt,"30.9","27.6","24.9","24","21.4","20.1","22.1","20.5","20.2"
"81081",Lliçà de Vall,"72.3","74.4","72.9","60.8","66.1","57.4","59.4","60.2","62.2"
"81069",Llinars del Vallès,"36.2","34.1","33.2","31.9","28.8","26.5","24.7","25.9","28.2"
"81108",Malgrat de Mar,"21.1","26.1","21.9","21.3","21.6","18","17.2","22","24.5"
"81141",Martorell,"114.7","113","114","101.4","92.9","92.1","79","77.1","80.3"
"81189",el Masnou,"21.4","19.2","18.4","16.4","21.4","21","20.3","19.3","20.8"
"81206",Matadepera,"15.3","14.5","14.9","15.6","14","13.8","13.2","13.6","15"
"81213",Mataró,"25.4","24","24.3","23.1","22.6","21.5","21","20.7","20.7"
"81234",Molins de Rei,"28.1","25.4","24.6","23.4","22.6","25.9","21.6","23.8","25.2"
"81249",Mollet del Vallès,"28.3","29","27.7","25.4","24.7","23.5","23.3","23.8","24"
"81252",Montcada i Reixac,"36.4","37","36.3","35","34.9","34","30.5","31.2","32.7"
"81265",Montgat,"17.2","16.4","15.7","13.6","13.2","12.7","12.8","12.5","12.8"
