CODIMUNI,nommuni,2017_mean,2018_mean,2019_mean,2020_mean,2021_mean
"80018",Abrera,"69.59","158.09","80.15","118.09","59.81"
"80142",Aiguafreda,"74.25","139.63","86.93","127.24","48.61"
"80039",Alella,"63.87","150.84","81.99","111.95","56.31"
"",AMB,"72.48","150.03","85.82","135.56","55"
"80060",Arenys de Mar,"67.3","130.99","94.83","150.37","63.54"
"80076",Arenys de Munt,"67.87","139.88","92.26","153.15","67.52"
"80095",Argentona,"67.04","139.88","83.78","130.17","59.58"
"80137",Avinyonet del Penedès,"66.76","141.24","81.54","131.93","61.77"
"",B30,"72.23","145.69","81.6","126.16","54.6"
"80155",Badalona,"76.81","151.68","90.33","125.03","57.69"
"89045",Badia del Vallès,"75.95","137.68","84.82","140.2","52.2"
"82520",Barberà del Vallès,"73.58","135.97","83.15","140.15","53.22"
"80193",Barcelona,"77.76","160.51","100.15","134.06","55.89"
"80207",Begues,"73.29","143.28","77.21","147.24","57.7"
"80235",Bigues i Riells,"72.6","131.53","75.8","120.95","50.08"
"80291",Cabrera de Mar,"72.16","144.11","85.44","123.57","60.49"
"80305",Cabrils,"69.59","147.18","83.39","118.78","57.92"
"80333",Caldes de Montbui,"73.08","129.26","77.51","120.92","51.66"
"80327",Caldes d'Estrac,"67.81","137.5","95.07","147.64","62.66"
"80351",Calella,"62.14","123.16","83.27","134.91","72.59"
"80399",Campins,"81.31","174.13","80.29","153.88","67.5"
"80403",Canet de Mar,"64.54","127.9","90.16","145.05","69.38"
"80410",Canovelles,"65.84","126.98","76.44","128.36","53.44"
"80431",Canyelles,"66.32","146.08","78.1","116.69","65.99"
"80462",Cardedeu,"65.69","140.59","80.66","136.06","57.98"
"80517",Castellar del Vallès,"76.24","155.64","85.15","124","57.33"
"80543",Castellbisbal,"72.87","166.61","78.12","118.53","59.87"
"80556",Castellcir,"75.13","148.08","79.31","112.12","48.41"
"80569",Castelldefels,"67.39","131.92","77.36","148.58","52.62"
"80581",Castellet i la Gornal,"63.94","146.75","72.89","116.77","70.78"
"80641",Castellterþol,"75.09","151.59","76.42","110.51","49.97"
"80654",Castellví de la Marca,"62.39","135.29","66.14","105.34","66.64"
"80667",Castellví de Rosanes,"71.94","166.16","81.92","123.5","60.22"
"82665",Cerdanyola del Vallès,"78.61","144.32","88.32","146.71","50.59"
"80689",Cervelló,"74.4","167.79","81.09","136.86","57.15"
"80692",Collbató,"70.98","145.05","84.36","118.81","56.49"
"80425",Cànoves i Samalús,"73.59","138.74","77.61","134.85","58.29"
"80728",Corbera de Llobregat,"73.89","168.57","82.1","128.99","59.33"
"80734",Cornellà de Llobregat,"64.11","143.42","86.18","136.66","53.99"
"80749",Cubelles,"66.33","157.13","77.25","135.31","73.06"
"80752",Dosrius,"65.86","145.2","87.25","148","66.82"
"81189",el Masnou,"58.76","154.63","79.87","102.84","52.57"
"81580",el Papiol,"75.59","159","78.9","120.38","56.64"
"81640",el Pla del Penedès,"62.83","138.84","82.41","119.87","61.54"
"81691",el Prat de Llobregat,"59.37","132.15","92.08","145.28","52.57"
"81537",Òrrius,"67.74","143.68","83.55","125.38","57.46"
"80765",Esparreguera,"69.49","148.94","83.23","117.99","58.38"
"80771",Esplugues de Llobregat,"73.39","148.42","85.33","125.44","56.61"
"81347",Figaró-Montmany,"73.49","132.63","77.55","124.1","50.48"
"80811",Fogars de Montcl·s,"75.24","152.7","71.96","149.83","64.4"
"80850",Font-rubí,"61.69","136.2","75.64","114.62","65.52"
"80879",Gallifa,"74.84","146.38","77.82","114.88","51.5"
"80898",Gavà,"66.38","133.89","78.56","149.37","52.9"
"80919",Gelida,"69.6","155.42","87.91","122.71","59.79"
"80958",Granera,"74.03","152.4","77.13","108.34","51.51"
"80961",Granollers,"63.99","129.84","76.28","126.45","53.19"
"80977",Gualba,"74.42","168.82","79.27","149.35","63.73"
"80885",la Garriga,"71.44","132.02","77.26","126.56","52.89"
"80945",la Granada,"66.77","140.05","78.6","127.79","60.92"
"81056",la Llagosta,"70.01","139.15","81.43","130.71","54.48"
"89058",la Palma de Cervelló,"74.82","169.88","80.31","131.56","57.58"
"81810",la Roca del Vallès,"64.14","138.54","81.49","130.03","55.45"
"80057",l'Ametlla del Vallès,"69.39","127.58","75.93","125.15","51.8"
"80272",les Cabanyes,"65.2","136.66","73.84","119.53","63.24"
"80863",les Franqueses del Vallès,"67.07","134.88","79.03","132.38","56.08"
"81017",l'Hospitalet de Llobregat,"70.51","151.89","95.54","133.55","56.73"
"81069",Llinars del Vallès,"67.83","147.09","83.98","147.72","49.71"
"81075",Lliçà d'Amunt,"66.33","119.28","73.18","122.26","47.52"
"81081",Lliçà de Vall,"63","119.36","70.28","119.06","65.92"
"81108",Malgrat de Mar,"60.03","109.47","77.93","124.68","81.58"
"81141",Martorell,"70.73","164.05","80.52","119.29","60.62"
"81154",Martorelles,"63.7","135.32","76.94","120.88","54.36"
"81206",Matadepera,"74.49","155.61","85.96","117.38","53.95"
"81213",Matar¾,"65.7","138.46","85.05","130.03","62"
"81228",Mediona,"59.75","142.36","76.59","112.21","64.62"
"81234",Molins de Rei,"75.13","153.41","80.63","122.55","55.24"
"81249",Mollet del Vallès,"63.95","126.6","73.06","120.99","49.62"
"81252",Montcada i Reixac,"75.05","143.46","85.72","138.67","53.71"
"81265",Montgat,"67.34","153.09","84.8","110.08","54.4"
"81350",Montmeló,"62.89","129.66","73.99","119.37","50.19"
"81363",Montornès del Vallès,"64.69","137.01","78.42","120.83","53.6"
"81379",Montseny,"74","142.61","73.69","145.19","59.97"
"81461",Olesa de Bonesvalls,"69.72","143.16","82.59","139.05","64.4"
"81477",Olesa de Montserrat,"69.04","152.89","82.19","120.37","61.56"
"81483",Olivella,"66.07","144.7","76.54","130.47","59.97"
"81458",Olèrdola,"65.8","142.85","77.1","120.71","60.66"
"81542",Pacs del Penedès,"64.5","134.67","70.27","113.14","65.1"
"81555",Palafolls,"59.19","116.41","75.39","119.67","75.63"
"81568",Palau-solità i Plegamans,"68.33","120.44","74.73","122.27","50.35"
"81574",Pallejà,"74.68","164.21","79.3","126.42","57.19"
"81593",Parets del Vallès,"61.48","122.29","69.47","116.82","46.75"
"81635",Pineda de Mar,"61.2","120.07","80.91","129.8","75.1"
"81672",Polinyà,"69.53","128.28","78.16","127.88","53.05"
"81688",Pontons,"65.31","143.84","70.39","109.04","70.08"
"82303",Premià de Dalt,"66.49","152.03","83.86","115.54","60.81"
"81727",Premià de Mar,"69.4","153.98","86","116.13","61.01"
"81748",Puigdàlber,"63.36","137.13","78.55","120.18","62.54"
,RMB,"69.45","144.67","80.96","127.89","59.11"
"81799",Rellinars,"72.28","145.76","88.78","113.01","49.76"
"81803",Ripollet,"75.37","141.15","85.38","146.6","52.26"
"81846",Rubí,"74.35","156.05","77.3","118.98","55.55"
"81878",Sabadell,"72.63","137.28","82.93","131.39","58.04"
"81944",Sant Adrià de Besòs,"75.99","159.2","98.41","131.79","57.55"
"81960",Sant Andreu de la Barca,"74.13","169.13","79.4","122.49","59.87"
"81976",Sant Andreu de Llavaneres,"66.74","148.29","92.34","143.28","65.29"
"81982",Sant Antoni de Vilamajor,"71.57","148.28","82.49","148.18","66.9"
"82009",Sant Boi de Llobregat,"60.58","138.58","82.95","143.7","52.06"
"82037",Sant Cebrià de Vallalta,"63.76","130.65","85.59","140.04","70.11"
"82021",Sant Celoni,"70.69","158.99","83.13","146.74","66.94"
"82042",Sant Climent de Llobregat,"67.53","145.26","79.28","146.29","53.57"
"82055",Sant Cugat del Vallès,"78.24","146.6","84.04","123.66","51.79"
"82068",Sant Cugat Sesgarrigues,"67.14","141.93","80.07","130.63","61.32"
"82074",Sant Esteve de Palautordera,"80.74","158.01","78.33","153.34","71.71"
"82080",Sant Esteve Sesrovires,"69.71","155.59","83.12","116.67","59.44"
"82107",Sant Feliu de Codines,"74.37","139.78","76.35","117.96","50.02"
"82114",Sant Feliu de Llobregat,"72.73","150.17","81.79","126.04","54.64"
"82093",Sant Fost de Campsentelles,"68.53","142.49","81.35","124.79","56.04"
"81939",Sant Iscle de Vallalta,"66.35","139.97","87.29","146.14","68.73"
"82172",Sant Joan Despí,"66.32","144.94","82.49","134.16","54.01"
"82212",Sant Just Desvern,"74.26","148.51","84.23","123.58","55.08"
"82227",Sant Llorenç d'Hortons,"67.96","150.25","87.58","115.07","58.93"
"82233",Sant Llorenç Savall,"73.67","150.98","80.21","110.39","52.38"
"82270",Sant Martí Sarroca,"63.49","132.61","66.92","106.28","66.53"
"82310",Sant Pere de Ribes,"65.08","150.13","76.44","126.94","59.56"
"82325",Sant Pere de Riudebitlles,"57.78","137.24","80.54","114.97","62.56"
"82346",Sant Pere de Vilamajor,"76.55","147.98","78.11","146.62","66.27"
"82359",Sant Pol de Mar,"62.98","123.59","86.72","139.34","71.41"
"82362",Sant Quintí de Mediona,"58.11","136.79","78.44","114.66","64.2"
"82384",Sant Quirze del Vallès,"74.36","142.9","82.03","127.31","55.36"
"82397",Sant Quirze Safaja,"74.31","139.76","77.06","118.28","48.45"
"82401",Sant Sadurní d'Anoia,"64.73","144.08","91.63","116.64","59.81"
"82649",Sant Vicenç de Montalt,"67.57","143.14","94.03","147.85","64.65"
"82634",Sant Vicenç dels Horts,"72.01","158.3","79.83","132.64","55.25"
"82444",Santa Coloma de Cervelló,"68.3","151.57","80.48","136.25","54.16"
"82457",Santa Coloma de Gramenet,"79.01","152.9","92.83","134.37","56.62"
"82482",Santa Eulàlia de Ronçana,"69.63","124.36","75.07","122.8","50.62"
"82495",Santa Fe del Penedès,"65.62","139.18","79.09","125.31","61.26"
"82515",Santa Margarida i els Monjos,"64.08","140.61","72.47","112.38","67.39"
"82567",Santa Maria de Martorelles,"65.67","143.84","81.15","119.44","56.61"
"82592",Santa Maria de Palautordera,"79.75","162.72","84.04","161.39","75.45"
"82606",Santa Perpètua de Mogoda,"68.77","131.52","78.57","130.79","52.12"
"82613",Santa Susanna,"60.41","118.53","78.11","125.52","76"
"82671",Sentmenat,"74.11","136.44","80.74","124.76","54.85"
"82704",Sitges,"68.57","141.22","73.88","131.88","54.73"
"82732",Subirats,"67.25","144.79","87.21","127.21","60.73"
"82763",Tagamanent,"74.51","135.58","80.17","127.74","51.34"
"82819",Teià,"61.97","152.67","82.05","111.6","59.61"
"82798",Terrassa,"73.27","153.8","84.61","122.2","54.54"
"82824",Tiana,"69.09","150.62","83.92","114.74","56.02"
"82845",Tordera,"59.35","129.56","73.81","118.54","67.38"
"82877",Torrelavit,"60.75","138.76","83.57","116.34","61.6"
"82883",Torrelles de Foix,"63.57","139.49","70.49","108.38","67.63"
"82896",Torrelles de Llobregat,"71.51","155.91","79.32","144.22","54.91"
"82900",Ullastrell,"71.42","161.22","77.98","119.44","56.83"
"82917",Vacarisses,"73.57","147.2","88.85","117.61","53.7"
"82943",Vallgorguina,"71.6","152.98","88.84","157.94","71.46"
"82956",Vallirana,"74.71","163.42","81.36","141.92","57.92"
"82969",Vallromanes,"66.73","147.59","83.74","119.98","57.71"
"83015",Viladecans,"59.53","131.06","82.27","146.74","51.33"
"83008",Viladecavalls,"71.61","156.19","81.43","120.22","55.08"
"83054",Vilafranca del Penedès,"65.44","139.31","74.5","120.63","63.71"
"83067",Vilalba Sasserra,"70.87","151.8","87.46","159.38","72.89"
"89024",Vilanova del Vallès,"67.56","141.85","83.06","125.86","55.55"
"83073",Vilanova i la Geltrú,"66.34","152.74","77.6","128.13","67.07"
"82140",Vilassar de Dalt,"68.79","149.27","84.18","118.69","58.93"
"82191",Vilassar de Mar,"76.38","151.76","88.85","123.25","62.93"
"83041",Vilobí del Penedès,"64.13","134.04","71.95","114.35","64.68"
