nommuni,anomtemp2017_mean,anomtemp2018_mean,anomtemp2019_mean,anomtemp2020_mean,anomtemp2021_mean
Òrrius,"0.99","1","0.96","1.35","1.02"
Abrera,"1.04","0.97","1.04","1.22","1.04"
Aiguafreda,"1.37","0.98","1.51","1.51","1.25"
Alella,"1.03","1.07","0.99","1.35","0.98"
AMB,"1.25","1.28","1.22","1.45","1.11"
Arenys de Mar,"0.92","1.05","0.88","1.13","0.65"
Arenys de Munt,"0.99","1.06","0.97","1.16","0.70"
Argentona,"1.03","1.04","0.96","1.29","0.90"
Avinyonet del Penedès,"1.05","1.08","1.1","1.34","1.03"
B30,"1","1","1.05","1.28","1.03"
Badalona,"1.11","1.17","1.11","1.44","1.00"
Badia del Vallès,"0.99","0.97","1.04","1.28","1.04"
Barbera del Vallès,"1.04","1.04","1.07","1.3","1.03"
Barcelona,"1.47","1.54","1.46","1.76","1.39"
Begues,"1.46","1.35","1.43","1.61","1.14"
Bigues i Riells,"1.01","1.03","1.31","1.51","1.23"
Cànoves i Samalús,"1.41","1.15","1.56","1.55","1.41"
Cabrera de Mar,"1.04","1.06","0.86","1.17","1.32"
Cabrils,"1.01","1.03","0.87","1.22","0.74"
Caldes de Montbui,"0.81","1","1.2","1.37","1.09"
Caldes d'Estrac,"0.94","1.05","0.89","1.14","0.83"
Calella,"0.76","1","0.76","1.08","0.66"
Campins,"1.59","1.23","1.55","1.22","0.59"
Canet de Mar,"0.89","1.04","0.87","1.12","1.08"
Canovelles,"1.11","1.16","1.25","1.7","0.64"
Canyelles,"0.57","0.77","0.63","0.91","0.67"
Cardedeu,"1.22","1.13","1.32","1.58","1.27"
Castellar del Valles,"0.81","0.86","0.95","1.12","0.82"
Castellbisbal,"1","0.95","0.96","1.13","0.93"
Castellcir,"1.11","0.88","1.2","1.34","1.06"
Castelldefels,"1.4","1.41","1.26","1.49","1.07"
Castellet i la Gornal,"0.63","0.83","0.68","0.95","0.65"
Castellterçol,"1","0.86","1.07","1.24","0.94"
Castellví de la Marca,"0.88","1.06","0.96","1.1","0.82"
Castellví de Rosanes,"1.14","1.08","1.13","1.28","1.02"
Cerdanyola del Vallès,"1.1","1.07","1.17","1.45","1.19"
Cervelló,"1.3","1.19","1.31","1.39","1.04"
Collbató,"1.41","1.06","1.53","1.59","1.32"
Corbera de Llobregat,"1.21","1.12","1.21","1.33","1.02"
Cornellà de Llobregat,"1.19","1.38","1.04","1.34","0.99"
Cubelles,"0.6","0.72","0.59","0.96","0.57"
